bootstrap_id,n_draws,n_in_clustering_matrix,n_lost_if_join_with_matrix,prop_in_clustering_matrix
529,1000,1000,0,1
530,1000,1000,0,1
531,1000,1000,0,1
532,1000,1000,0,1
533,1000,1000,0,1
534,1000,1000,0,1
535,1000,1000,0,1
536,1000,1000,0,1
537,1000,1000,0,1
538,1000,1000,0,1
539,1000,1000,0,1
540,1000,1000,0,1
541,1000,1000,0,1
542,1000,1000,0,1
543,1000,1000,0,1
544,1000,1000,0,1
545,1000,1000,0,1
546,1000,1000,0,1
547,1000,1000,0,1
548,1000,1000,0,1
549,1000,1000,0,1
550,1000,1000,0,1
551,1000,1000,0,1
552,1000,1000,0,1
553,1000,1000,0,1
554,1000,1000,0,1
555,1000,1000,0,1
556,1000,1000,0,1
557,1000,1000,0,1
558,1000,1000,0,1
559,1000,1000,0,1
560,1000,1000,0,1
561,1000,1000,0,1
562,1000,1000,0,1
563,1000,1000,0,1
564,1000,1000,0,1
565,1000,1000,0,1
566,1000,1000,0,1
567,1000,1000,0,1
568,1000,1000,0,1
569,1000,1000,0,1
570,1000,1000,0,1
571,1000,1000,0,1
572,1000,1000,0,1
573,1000,1000,0,1
574,1000,1000,0,1
575,1000,1000,0,1
576,1000,1000,0,1
577,1000,1000,0,1
578,1000,1000,0,1
579,1000,1000,0,1
580,1000,1000,0,1
581,1000,1000,0,1
582,1000,1000,0,1
583,1000,1000,0,1
584,1000,1000,0,1
585,1000,1000,0,1
586,1000,1000,0,1
587,1000,1000,0,1
588,1000,1000,0,1
589,1000,1000,0,1
590,1000,1000,0,1
591,1000,1000,0,1
592,1000,1000,0,1
593,1000,1000,0,1
594,1000,1000,0,1
595,1000,1000,0,1
596,1000,1000,0,1
597,1000,1000,0,1
598,1000,1000,0,1
599,1000,1000,0,1
600,1000,1000,0,1
601,1000,1000,0,1
602,1000,1000,0,1
603,1000,1000,0,1
604,1000,1000,0,1
605,1000,1000,0,1
606,1000,1000,0,1
607,1000,1000,0,1
608,1000,1000,0,1
609,1000,1000,0,1
610,1000,1000,0,1
611,1000,1000,0,1
612,1000,1000,0,1
613,1000,1000,0,1
614,1000,1000,0,1
615,1000,1000,0,1
616,1000,1000,0,1
617,1000,1000,0,1
618,1000,1000,0,1
619,1000,1000,0,1
620,1000,1000,0,1
621,1000,1000,0,1
622,1000,1000,0,1
623,1000,1000,0,1
624,1000,1000,0,1
625,1000,1000,0,1
626,1000,1000,0,1
627,1000,1000,0,1
628,1000,1000,0,1
629,1000,1000,0,1
630,1000,1000,0,1
631,1000,1000,0,1
632,1000,1000,0,1
633,1000,1000,0,1
634,1000,1000,0,1
635,1000,1000,0,1
636,1000,1000,0,1
637,1000,1000,0,1
638,1000,1000,0,1
639,1000,1000,0,1
640,1000,1000,0,1
641,1000,1000,0,1
642,1000,1000,0,1
643,1000,1000,0,1
644,1000,1000,0,1
645,1000,1000,0,1
646,1000,1000,0,1
647,1000,1000,0,1
648,1000,1000,0,1
649,1000,1000,0,1
650,1000,1000,0,1
651,1000,1000,0,1
652,1000,1000,0,1
653,1000,1000,0,1
654,1000,1000,0,1
655,1000,1000,0,1
656,1000,1000,0,1
657,1000,1000,0,1
658,1000,1000,0,1
659,1000,1000,0,1
660,1000,1000,0,1
661,1000,1000,0,1
662,1000,1000,0,1
663,1000,1000,0,1
664,1000,1000,0,1
665,1000,1000,0,1
666,1000,1000,0,1
667,1000,1000,0,1
668,1000,1000,0,1
669,1000,1000,0,1
670,1000,1000,0,1
671,1000,1000,0,1
672,1000,1000,0,1
673,1000,1000,0,1
674,1000,1000,0,1
675,1000,1000,0,1
676,1000,1000,0,1
677,1000,1000,0,1
678,1000,1000,0,1
679,1000,1000,0,1
680,1000,1000,0,1
681,1000,1000,0,1
682,1000,1000,0,1
683,1000,1000,0,1
684,1000,1000,0,1
685,1000,1000,0,1
686,1000,1000,0,1
687,1000,1000,0,1
688,1000,1000,0,1
689,1000,1000,0,1
690,1000,1000,0,1
691,1000,1000,0,1
692,1000,1000,0,1
693,1000,1000,0,1
694,1000,1000,0,1
695,1000,1000,0,1
696,1000,1000,0,1
697,1000,1000,0,1
698,1000,1000,0,1
699,1000,1000,0,1
700,1000,1000,0,1
701,1000,1000,0,1
702,1000,1000,0,1
703,1000,1000,0,1
704,1000,1000,0,1
705,1000,1000,0,1
706,1000,1000,0,1
707,1000,1000,0,1
708,1000,1000,0,1
709,1000,1000,0,1
710,1000,1000,0,1
711,1000,1000,0,1
712,1000,1000,0,1
713,1000,1000,0,1
714,1000,1000,0,1
715,1000,1000,0,1
716,1000,1000,0,1
717,1000,1000,0,1
718,1000,1000,0,1
719,1000,1000,0,1
720,1000,1000,0,1
721,1000,1000,0,1
722,1000,1000,0,1
723,1000,1000,0,1
724,1000,1000,0,1
725,1000,1000,0,1
726,1000,1000,0,1
727,1000,1000,0,1
728,1000,1000,0,1
729,1000,1000,0,1
730,1000,1000,0,1
731,1000,1000,0,1
732,1000,1000,0,1
733,1000,1000,0,1
734,1000,1000,0,1
735,1000,1000,0,1
736,1000,1000,0,1
737,1000,1000,0,1
738,1000,1000,0,1
739,1000,1000,0,1
740,1000,1000,0,1
741,1000,1000,0,1
742,1000,1000,0,1
743,1000,1000,0,1
744,1000,1000,0,1
745,1000,1000,0,1
746,1000,1000,0,1
747,1000,1000,0,1
748,1000,1000,0,1
749,1000,1000,0,1
750,1000,1000,0,1
751,1000,1000,0,1
752,1000,1000,0,1
753,1000,1000,0,1
754,1000,1000,0,1
755,1000,1000,0,1
756,1000,1000,0,1
757,1000,1000,0,1
758,1000,1000,0,1
759,1000,1000,0,1
760,1000,1000,0,1
761,1000,1000,0,1
762,1000,1000,0,1
763,1000,1000,0,1
764,1000,1000,0,1
765,1000,1000,0,1
766,1000,1000,0,1
767,1000,1000,0,1
768,1000,1000,0,1
769,1000,1000,0,1
770,1000,1000,0,1
771,1000,1000,0,1
772,1000,1000,0,1
773,1000,1000,0,1
774,1000,1000,0,1
775,1000,1000,0,1
776,1000,1000,0,1
777,1000,1000,0,1
778,1000,1000,0,1
779,1000,1000,0,1
780,1000,1000,0,1
781,1000,1000,0,1
782,1000,1000,0,1
783,1000,1000,0,1
784,1000,1000,0,1
785,1000,1000,0,1
786,1000,1000,0,1
787,1000,1000,0,1
788,1000,1000,0,1
789,1000,1000,0,1
790,1000,1000,0,1
791,1000,1000,0,1
792,1000,1000,0,1
793,1000,1000,0,1
794,1000,1000,0,1
795,1000,1000,0,1
796,1000,1000,0,1
797,1000,1000,0,1
798,1000,1000,0,1
799,1000,1000,0,1
800,1000,1000,0,1
801,1000,1000,0,1
802,1000,1000,0,1
803,1000,1000,0,1
804,1000,1000,0,1
805,1000,1000,0,1
806,1000,1000,0,1
807,1000,1000,0,1
808,1000,1000,0,1
809,1000,1000,0,1
810,1000,1000,0,1
811,1000,1000,0,1
812,1000,1000,0,1
813,1000,1000,0,1
814,1000,1000,0,1
815,1000,1000,0,1
816,1000,1000,0,1
817,1000,1000,0,1
818,1000,1000,0,1
819,1000,1000,0,1
820,1000,1000,0,1
821,1000,1000,0,1
822,1000,1000,0,1
823,1000,1000,0,1
824,1000,1000,0,1
825,1000,1000,0,1
826,1000,1000,0,1
827,1000,1000,0,1
828,1000,1000,0,1
829,1000,1000,0,1
830,1000,1000,0,1
831,1000,1000,0,1
832,1000,1000,0,1
833,1000,1000,0,1
834,1000,1000,0,1
835,1000,1000,0,1
836,1000,1000,0,1
837,1000,1000,0,1
838,1000,1000,0,1
839,1000,1000,0,1
840,1000,1000,0,1
841,1000,1000,0,1
842,1000,1000,0,1
843,1000,1000,0,1
844,1000,1000,0,1
845,1000,1000,0,1
846,1000,1000,0,1
847,1000,1000,0,1
848,1000,1000,0,1
849,1000,1000,0,1
850,1000,1000,0,1
851,1000,1000,0,1
852,1000,1000,0,1
853,1000,1000,0,1
854,1000,1000,0,1
855,1000,1000,0,1
856,1000,1000,0,1
857,1000,1000,0,1
858,1000,1000,0,1
859,1000,1000,0,1
860,1000,1000,0,1
861,1000,1000,0,1
862,1000,1000,0,1
863,1000,1000,0,1
864,1000,1000,0,1
865,1000,1000,0,1
866,1000,1000,0,1
867,1000,1000,0,1
868,1000,1000,0,1
869,1000,1000,0,1
870,1000,1000,0,1
871,1000,1000,0,1
872,1000,1000,0,1
873,1000,1000,0,1
874,1000,1000,0,1
875,1000,1000,0,1
876,1000,1000,0,1
877,1000,1000,0,1
878,1000,1000,0,1
879,1000,1000,0,1
880,1000,1000,0,1
881,1000,1000,0,1
882,1000,1000,0,1
883,1000,1000,0,1
884,1000,1000,0,1
885,1000,1000,0,1
886,1000,1000,0,1
887,1000,1000,0,1
888,1000,1000,0,1
889,1000,1000,0,1
890,1000,1000,0,1
891,1000,1000,0,1
892,1000,1000,0,1
893,1000,1000,0,1
894,1000,1000,0,1
895,1000,1000,0,1
896,1000,1000,0,1
897,1000,1000,0,1
898,1000,1000,0,1
899,1000,1000,0,1
900,1000,1000,0,1
901,1000,1000,0,1
902,1000,1000,0,1
903,1000,1000,0,1
904,1000,1000,0,1
905,1000,1000,0,1
906,1000,1000,0,1
907,1000,1000,0,1
908,1000,1000,0,1
909,1000,1000,0,1
910,1000,1000,0,1
911,1000,1000,0,1
912,1000,1000,0,1
913,1000,1000,0,1
914,1000,1000,0,1
915,1000,1000,0,1
916,1000,1000,0,1
917,1000,1000,0,1
918,1000,1000,0,1
919,1000,1000,0,1
920,1000,1000,0,1
921,1000,1000,0,1
922,1000,1000,0,1
923,1000,1000,0,1
924,1000,1000,0,1
925,1000,1000,0,1
926,1000,1000,0,1
927,1000,1000,0,1
928,1000,1000,0,1
929,1000,1000,0,1
930,1000,1000,0,1
931,1000,1000,0,1
932,1000,1000,0,1
933,1000,1000,0,1
934,1000,1000,0,1
935,1000,1000,0,1
936,1000,1000,0,1
937,1000,1000,0,1
938,1000,1000,0,1
939,1000,1000,0,1
940,1000,1000,0,1
941,1000,1000,0,1
942,1000,1000,0,1
943,1000,1000,0,1
944,1000,1000,0,1
945,1000,1000,0,1
946,1000,1000,0,1
947,1000,1000,0,1
948,1000,1000,0,1
949,1000,1000,0,1
950,1000,1000,0,1
951,1000,1000,0,1
952,1000,1000,0,1
953,1000,1000,0,1
954,1000,1000,0,1
955,1000,1000,0,1
956,1000,1000,0,1
957,1000,1000,0,1
958,1000,1000,0,1
959,1000,1000,0,1
960,1000,1000,0,1
961,1000,1000,0,1
962,1000,1000,0,1
963,1000,1000,0,1
964,1000,1000,0,1
965,1000,1000,0,1
966,1000,1000,0,1
967,1000,1000,0,1
968,1000,1000,0,1
969,1000,1000,0,1
970,1000,1000,0,1
971,1000,1000,0,1
972,1000,1000,0,1
973,1000,1000,0,1
974,1000,1000,0,1
975,1000,1000,0,1
976,1000,1000,0,1
977,1000,1000,0,1
978,1000,1000,0,1
979,1000,1000,0,1
980,1000,1000,0,1
981,1000,1000,0,1
982,1000,1000,0,1
983,1000,1000,0,1
984,1000,1000,0,1
985,1000,1000,0,1
986,1000,1000,0,1
987,1000,1000,0,1
988,1000,1000,0,1
989,1000,1000,0,1
990,1000,1000,0,1
991,1000,1000,0,1
992,1000,1000,0,1
993,1000,1000,0,1
994,1000,1000,0,1
995,1000,1000,0,1
996,1000,1000,0,1
997,1000,1000,0,1
998,1000,1000,0,1
999,1000,1000,0,1
1000,1000,1000,0,1
