analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,10,4,ok,1608,1608,0,1003,32,0,0.025881091181490692,0.810950348457797,0.05319038966220208,-685.4456381208702,0.1518653593356423,0.0106795517907082,0.8481346406643577,0.010679551790708192,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,5,ok,1608,1608,0,1003,32,0,0.020587335683521654,0.8625482901054204,0.04534343893691058,-1064.3070807072932,0.17359996122009524,0.012201256863600376,0.8264000387799048,0.012201256863600374,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,6,ok,1608,1608,0,1003,32,0,0.018012520101484422,0.888935915172983,0.04074944952420602,-1184.1317682416093,0.1812087963615402,0.017401560364868732,0.8187912036384598,0.017401560364868736,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,7,ok,1608,1608,0,1003,32,0,0.01609276762015255,0.9045852041817951,0.037760670486736765,-1198.1731184582632,0.17546658236860835,0.015476922842234736,0.8245334176313917,0.01547692284223474,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,8,ok,1608,1608,0,1003,32,0,0.01432750697535099,0.9157062827108968,0.03548353072183432,-1167.8158961617262,0.16662251117380036,0.013908722852634125,0.8333774888261997,0.013908722852634125,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,2,ok,1608,1608,0,1014,32,0,0.046237581788672884,0.6468540616300089,0.07328764990339917,976.2296197987221,0.059159337077147524,NA,0.9408406629228525,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,3,ok,1608,1608,0,1014,32,0,0.031117654771982403,0.7738104161208563,0.05863901324927138,-343.7435656832158,0.10576916580515576,0.002742318641629719,0.8942308341948443,0.00274231864162972,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,4,ok,1608,1608,0,1014,32,0,0.026316751730758536,0.8110603870625497,0.0535812016025611,-660.3509856294704,0.1476903131736718,0.01236644282441478,0.8523096868263282,0.012366442824414781,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,5,ok,1608,1608,0,1014,32,0,0.02198697149828005,0.854233461057372,0.047051833149567374,-976.4857560607688,0.16677898431416294,0.014383933986417692,0.8332210156858371,0.014383933986417689,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,6,ok,1608,1608,0,1014,32,0,0.016841574483178808,0.906010132276554,0.037772222886760215,-1304.048052905207,0.17029044903305765,0.01248160587946037,0.8297095509669423,0.012481605879460369,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,7,ok,1608,1608,0,1014,32,0,0.01458698354132962,0.925993401964517,0.033508624469610365,-1340.9487478147541,0.17036561061086064,0.01272064782308124,0.8296343893891394,0.01272064782308124,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,11,8,ok,1608,1608,0,1014,32,0,0.012884951975417022,0.9361128107383149,0.031125879330452567,-1292.90195516636,0.17034927362065355,0.012837268131312408,0.8296507263793464,0.012837268131312404,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,2,ok,1608,1608,0,1032,32,0,0.046629360464744626,0.6349546073293731,0.07400551633588372,1049.850360884318,0.10227440620235814,NA,0.8977255937976418,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,3,ok,1608,1608,0,1032,32,0,0.032175596116653514,0.7541186466374407,0.06072274769301922,-182.56819471899826,0.13157987821950887,0.0024553781181843085,0.8684201217804911,0.002455378118184311,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,12,4,ok,1608,1608,0,1032,32,0,0.02681288360281951,0.8021350214319907,0.05445940675036127,-603.2898190820215,0.17167767450935387,0.0219797429780446,0.8283223254906461,0.021979742978044604,FALSE,NA,NA
