analysis_sample,analysis_region,component,quality_label,n,prop
WHY_LATAM,LATAM,quality_determinants_32,usable_complete,610,0.9561128526645768
WHY_LATAM,LATAM,quality_determinants_32,too_many_missing,13,0.02037617554858934
WHY_LATAM,LATAM,quality_determinants_32,no_determinants,11,0.017241379310344827
WHY_LATAM,LATAM,quality_determinants_32,low_variability,4,0.006269592476489028
WHY_LATAM,LATAM,quality_energy_crisis,component_partial,631,0.9890282131661442
WHY_LATAM,LATAM,quality_energy_crisis,missing_component,7,0.0109717868338558
WHY_LATAM,LATAM,quality_poverty,not_available_for_source,638,1
WHY_LATAM,LATAM,quality_propensity_score_model,not_applicable_non_europe,638,1
WHY_LATAM,LATAM,quality_propensity_score_predictors,not_applicable_non_europe,638,1
WHY_LATAM,LATAM,quality_sociodemographics,core_complete,473,0.7413793103448276
WHY_LATAM,LATAM,quality_sociodemographics,core_poor,165,0.25862068965517243
WHY_LATAM,LATAM,quality_tariffs_costs_payback,component_partial,638,1
WHY_LATAM,LATAM,quality_technology_adoption,component_partial,638,1
WHY_LATAM,LATAM,quality_trust_information,component_partial,638,1
WHY_LATAM,LATAM,quality_vote_politics,missing_or_not_collected,638,1
