analysis_sample,analysis_region,variable,value,n,prop
DIEGO,EUROPE,income_model,high,407,0.2143233280674039
DIEGO,EUROPE,income_model,unknown,135,0.07109004739336493
DIEGO,EUROPE,language_model,unknown,1899,1
DIEGO,EUROPE,nationality_model,unknown,1899,1
DIEGO,EUROPE,num_children_model,NA,1217,0.6408636124275935
DIEGO,EUROPE,num_children_model,2,318,0.1674565560821485
DIEGO,EUROPE,num_children_model,1,288,0.15165876777251186
DIEGO,EUROPE,num_children_model,3,62,0.03264876250658241
DIEGO,EUROPE,num_children_model,4,14,0.00737230121116377
DIEGO,EUROPE,political_block_model,unknown,1899,1
DIEGO,EUROPE,political_left_right_model,NA,1899,1
DIEGO,EUROPE,self_classification_model,unknown,1899,1
DIEGO,EUROPE,student_status_model,unknown,1899,1
DIEGO,EUROPE,tenure_model,unknown,1899,1
DIEGO,EUROPE,vote_status_declared,unknown,1899,1
DIEGO,EUROPE,voted_observed,NA,1899,1
POOLED_ALL,ALL,age_group_model,18_39,3186,0.6698906644238857
POOLED_ALL,ALL,age_group_model,40_59,1020,0.2144659377628259
POOLED_ALL,ALL,age_group_model,unknown,382,0.08031959629941127
POOLED_ALL,ALL,age_group_model,60_plus,168,0.03532380151387721
POOLED_ALL,ALL,age_model,NA,2281,0.47960470984020187
POOLED_ALL,ALL,age_model,26,141,0.029646761984861228
POOLED_ALL,ALL,age_model,27,132,0.027754415475189236
POOLED_ALL,ALL,age_model,25,130,0.027333894028595457
POOLED_ALL,ALL,age_model,24,129,0.02712363330529857
POOLED_ALL,ALL,age_model,28,125,0.026282590412111017
POOLED_ALL,ALL,age_model,22,124,0.02607232968881413
POOLED_ALL,ALL,age_model,29,117,0.024600504625735913
POOLED_ALL,ALL,age_model,23,110,0.023128679562657694
POOLED_ALL,ALL,age_model,32,97,0.02039529015979815
POOLED_ALL,ALL,age_model,30,96,0.020185029436501262
POOLED_ALL,ALL,age_model,21,91,0.019133725820016823
POOLED_ALL,ALL,age_model,31,89,0.018713204373423043
POOLED_ALL,ALL,age_model,20,82,0.017241379310344827
POOLED_ALL,ALL,age_model,34,79,0.016610597140454163
POOLED_ALL,ALL,age_model,33,77,0.016190075693860388
POOLED_ALL,ALL,age_model,35,57,0.011984861227922625
POOLED_ALL,ALL,age_model,36,57,0.011984861227922625
POOLED_ALL,ALL,age_model,40,48,0.010092514718250631
POOLED_ALL,ALL,age_model,38,46,0.009671993271656855
POOLED_ALL,ALL,age_model,37,45,0.009461732548359966
POOLED_ALL,ALL,age_model,39,41,0.008620689655172414
POOLED_ALL,ALL,age_model,19,40,0.008410428931875526
POOLED_ALL,ALL,age_model,42,37,0.007779646761984861
POOLED_ALL,ALL,age_model,41,33,0.006938603868797309
POOLED_ALL,ALL,age_model,45,32,0.00672834314550042
POOLED_ALL,ALL,age_model,43,30,0.006307821698906644
POOLED_ALL,ALL,age_model,46,29,0.006097560975609756
POOLED_ALL,ALL,age_model,47,25,0.0052565180824222036
POOLED_ALL,ALL,age_model,48,25,0.0052565180824222036
POOLED_ALL,ALL,age_model,49,24,0.005046257359125316
POOLED_ALL,ALL,age_model,50,23,0.004835996635828428
POOLED_ALL,ALL,age_model,44,21,0.004415475189234651
POOLED_ALL,ALL,age_model,55,21,0.004415475189234651
POOLED_ALL,ALL,age_model,52,19,0.003994953742640875
POOLED_ALL,ALL,age_model,51,17,0.0035744322960470985
POOLED_ALL,ALL,age_model,53,17,0.0035744322960470985
POOLED_ALL,ALL,age_model,57,15,0.003153910849453322
POOLED_ALL,ALL,age_model,59,15,0.003153910849453322
POOLED_ALL,ALL,age_model,61,14,0.002943650126156434
POOLED_ALL,ALL,age_model,56,13,0.0027333894028595458
POOLED_ALL,ALL,age_model,62,11,0.0023128679562657694
POOLED_ALL,ALL,age_model,63,11,0.0023128679562657694
POOLED_ALL,ALL,age_model,54,10,0.0021026072329688814
POOLED_ALL,ALL,age_model,58,10,0.0021026072329688814
POOLED_ALL,ALL,age_model,65,8,0.001682085786375105
POOLED_ALL,ALL,age_model,60,7,0.001471825063078217
POOLED_ALL,ALL,age_model,64,6,0.001261564339781329
POOLED_ALL,ALL,age_model,66,6,0.001261564339781329
POOLED_ALL,ALL,age_model,68,6,0.001261564339781329
POOLED_ALL,ALL,age_model,70,6,0.001261564339781329
POOLED_ALL,ALL,age_model,18,5,0.0010513036164844407
POOLED_ALL,ALL,age_model,67,5,0.0010513036164844407
POOLED_ALL,ALL,age_model,71,3,6.307821698906644e-4
POOLED_ALL,ALL,age_model,73,3,6.307821698906644e-4
POOLED_ALL,ALL,age_model,76,3,6.307821698906644e-4
POOLED_ALL,ALL,age_model,69,2,4.2052144659377626e-4
POOLED_ALL,ALL,age_model,74,2,4.2052144659377626e-4
POOLED_ALL,ALL,age_model,75,2,4.2052144659377626e-4
POOLED_ALL,ALL,age_model,80,2,4.2052144659377626e-4
POOLED_ALL,ALL,age_model,77,1,2.1026072329688813e-4
POOLED_ALL,ALL,age_model,79,1,2.1026072329688813e-4
POOLED_ALL,ALL,age_model,81,1,2.1026072329688813e-4
POOLED_ALL,ALL,age_model,84,1,2.1026072329688813e-4
POOLED_ALL,ALL,city_size_model,unknown,3635,0.7642977291841884
POOLED_ALL,ALL,city_size_model,rural_small,1120,0.23549201009251472
POOLED_ALL,ALL,city_size_model,conflict,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,NA,3298,0.6934398654331371
POOLED_ALL,ALL,country_birth_model,MX,389,0.08179142136248949
POOLED_ALL,ALL,country_birth_model,IT,156,0.03280067283431455
POOLED_ALL,ALL,country_birth_model,DE,150,0.03153910849453322
POOLED_ALL,ALL,country_birth_model,PL,82,0.017241379310344827
POOLED_ALL,ALL,country_birth_model,ES,73,0.015349032800672834
POOLED_ALL,ALL,country_birth_model,FR,72,0.015138772077375946
POOLED_ALL,ALL,country_birth_model,CL,65,0.013666947014297728
POOLED_ALL,ALL,country_birth_model,HU,60,0.012615643397813289
POOLED_ALL,ALL,country_birth_model,NL,59,0.0124053826745164
POOLED_ALL,ALL,country_birth_model,GR,30,0.006307821698906644
POOLED_ALL,ALL,country_birth_model,GB,26,0.0054667788057190915
POOLED_ALL,ALL,country_birth_model,BE,23,0.004835996635828428
POOLED_ALL,ALL,country_birth_model,US,23,0.004835996635828428
POOLED_ALL,ALL,country_birth_model,PT,22,0.004625735912531539
POOLED_ALL,ALL,country_birth_model,IE,18,0.0037846930193439865
POOLED_ALL,ALL,country_birth_model,IN,15,0.003153910849453322
POOLED_ALL,ALL,country_birth_model,AT,13,0.0027333894028595458
POOLED_ALL,ALL,country_birth_model,LV,13,0.0027333894028595458
POOLED_ALL,ALL,country_birth_model,SI,13,0.0027333894028595458
POOLED_ALL,ALL,country_birth_model,CZ,12,0.002523128679562658
POOLED_ALL,ALL,country_birth_model,TR,11,0.0023128679562657694
POOLED_ALL,ALL,country_birth_model,RU,10,0.0021026072329688814
POOLED_ALL,ALL,country_birth_model,VE,10,0.0021026072329688814
POOLED_ALL,ALL,country_birth_model,FI,9,0.0018923465096719932
POOLED_ALL,ALL,country_birth_model,RO,7,0.001471825063078217
POOLED_ALL,ALL,country_birth_model,SE,7,0.001471825063078217
POOLED_ALL,ALL,country_birth_model,BR,5,0.0010513036164844407
POOLED_ALL,ALL,country_birth_model,EE,5,0.0010513036164844407
POOLED_ALL,ALL,country_birth_model,UA,5,0.0010513036164844407
POOLED_ALL,ALL,country_birth_model,CA,4,8.410428931875525e-4
POOLED_ALL,ALL,country_birth_model,NG,4,8.410428931875525e-4
POOLED_ALL,ALL,country_birth_model,CN,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,ID,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,LT,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,RS,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,SY,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,VN,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,ZA,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,ZW,3,6.307821698906644e-4
POOLED_ALL,ALL,country_birth_model,AU,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,BD,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,CH,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,CU,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,GH,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,IR,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,KZ,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,LB,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,MA,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,MY,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,PK,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_birth_model,AL,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,AM,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,AR,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,BG,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,BO,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,CM,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,CO,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,DK,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,EG,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,HK,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,HR,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,HT,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,KG,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,MD,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,PA,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,PE,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,PH,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,SA,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,SK,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,TN,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_birth_model,TZ,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_model,DE,801,0.1684188393608074
POOLED_ALL,ALL,country_model,IT,767,0.16126997476871321
POOLED_ALL,ALL,country_model,ES,698,0.14676198486122793
POOLED_ALL,ALL,country_model,MX,544,0.11438183347350715
POOLED_ALL,ALL,country_model,NL,396,0.0832632464255677
POOLED_ALL,ALL,country_model,GR,238,0.05004205214465938
POOLED_ALL,ALL,country_model,FR,213,0.044785534062237176
POOLED_ALL,ALL,country_model,GB,182,0.038267451640033645
POOLED_ALL,ALL,country_model,PL,157,0.033010933557611435
POOLED_ALL,ALL,country_model,BE,138,0.029015979814970564
POOLED_ALL,ALL,country_model,NA,116,0.024390243902439025
POOLED_ALL,ALL,country_model,HU,84,0.017661900756938603
POOLED_ALL,ALL,country_model,CL,78,0.016400336417157275
POOLED_ALL,ALL,country_model,PT,48,0.010092514718250631
POOLED_ALL,ALL,country_model,IE,44,0.009251471825063078
POOLED_ALL,ALL,country_model,RO,34,0.007148864592094197
POOLED_ALL,ALL,country_model,CZ,32,0.00672834314550042
POOLED_ALL,ALL,country_model,AT,28,0.005887300252312868
POOLED_ALL,ALL,country_model,SE,24,0.005046257359125316
POOLED_ALL,ALL,country_model,FI,23,0.004835996635828428
POOLED_ALL,ALL,country_model,LV,18,0.0037846930193439865
POOLED_ALL,ALL,country_model,SI,17,0.0035744322960470985
POOLED_ALL,ALL,country_model,CO,16,0.00336417157275021
POOLED_ALL,ALL,country_model,CH,12,0.002523128679562658
POOLED_ALL,ALL,country_model,DK,11,0.0023128679562657694
POOLED_ALL,ALL,country_model,SK,10,0.0021026072329688814
POOLED_ALL,ALL,country_model,EE,8,0.001682085786375105
POOLED_ALL,ALL,country_model,NO,8,0.001682085786375105
POOLED_ALL,ALL,country_model,BG,3,6.307821698906644e-4
POOLED_ALL,ALL,country_model,IS,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_model,LT,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_model,OTHER_EU,2,4.2052144659377626e-4
POOLED_ALL,ALL,country_model,LU,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_model,MT,1,2.1026072329688813e-4
POOLED_ALL,ALL,country_model_grouped,DE,801,0.1684188393608074
POOLED_ALL,ALL,country_model_grouped,IT,767,0.16126997476871321
POOLED_ALL,ALL,country_model_grouped,ES,698,0.14676198486122793
POOLED_ALL,ALL,country_model_grouped,MX,544,0.11438183347350715
POOLED_ALL,ALL,country_model_grouped,NL,396,0.0832632464255677
POOLED_ALL,ALL,country_model_grouped,GR,238,0.05004205214465938
POOLED_ALL,ALL,country_model_grouped,FR,213,0.044785534062237176
POOLED_ALL,ALL,country_model_grouped,GB,182,0.038267451640033645
POOLED_ALL,ALL,country_model_grouped,PL,157,0.033010933557611435
POOLED_ALL,ALL,country_model_grouped,BE,138,0.029015979814970564
POOLED_ALL,ALL,country_model_grouped,UNKNOWN,116,0.024390243902439025
POOLED_ALL,ALL,country_model_grouped,HU,84,0.017661900756938603
POOLED_ALL,ALL,country_model_grouped,CL,78,0.016400336417157275
POOLED_ALL,ALL,country_model_grouped,PT,48,0.010092514718250631
POOLED_ALL,ALL,country_model_grouped,IE,44,0.009251471825063078
POOLED_ALL,ALL,country_model_grouped,RO,34,0.007148864592094197
POOLED_ALL,ALL,country_model_grouped,CZ,32,0.00672834314550042
POOLED_ALL,ALL,country_model_grouped,AT,28,0.005887300252312868
POOLED_ALL,ALL,country_model_grouped,OTHER_COUNTRIES,27,0.0056770395290159795
POOLED_ALL,ALL,country_model_grouped,SE,24,0.005046257359125316
POOLED_ALL,ALL,country_model_grouped,FI,23,0.004835996635828428
POOLED_ALL,ALL,country_model_grouped,LV,18,0.0037846930193439865
POOLED_ALL,ALL,country_model_grouped,SI,17,0.0035744322960470985
POOLED_ALL,ALL,country_model_grouped,CO,16,0.00336417157275021
POOLED_ALL,ALL,country_model_grouped,CH,12,0.002523128679562658
POOLED_ALL,ALL,country_model_grouped,DK,11,0.0023128679562657694
POOLED_ALL,ALL,country_model_grouped,SK,10,0.0021026072329688814
POOLED_ALL,ALL,country_region_model,southern_europe,1769,0.3719512195121951
POOLED_ALL,ALL,country_region_model,western_europe,1589,0.33410428931875524
POOLED_ALL,ALL,country_region_model,latin_america,638,0.13414634146341464
POOLED_ALL,ALL,country_region_model,northern_europe,322,0.06770395290159797
POOLED_ALL,ALL,country_region_model,eastern_europe,320,0.0672834314550042
POOLED_ALL,ALL,country_region_model,unknown,116,0.024390243902439025
POOLED_ALL,ALL,country_region_model,other_region,2,4.2052144659377626e-4
POOLED_ALL,ALL,education_model,high,1991,0.4186291000841043
POOLED_ALL,ALL,education_model,unknown,1760,0.3700588730025231
POOLED_ALL,ALL,education_model,medium,912,0.191757779646762
POOLED_ALL,ALL,education_model,other,55,0.011564339781328847
POOLED_ALL,ALL,education_model,conflict,29,0.006097560975609756
POOLED_ALL,ALL,education_model,low,9,0.0018923465096719932
POOLED_ALL,ALL,employment_model,employed,2505,0.5267031118587048
POOLED_ALL,ALL,employment_model,unknown,669,0.14066442388561817
POOLED_ALL,ALL,employment_model,student,559,0.11753574432296048
POOLED_ALL,ALL,employment_model,unemployed,385,0.08095037846930193
POOLED_ALL,ALL,employment_model,self_employed,334,0.07022708158116064
POOLED_ALL,ALL,employment_model,other,165,0.034693019343986546
POOLED_ALL,ALL,employment_model,retired,89,0.018713204373423043
POOLED_ALL,ALL,employment_model,inactive_other,50,0.010513036164844407
POOLED_ALL,ALL,ethnicity_model,unknown,3305,0.6949116904962153
POOLED_ALL,ALL,ethnicity_model,white,987,0.20752733389402858
POOLED_ALL,ALL,ethnicity_model,mixed,252,0.05298570227081581
POOLED_ALL,ALL,ethnicity_model,other,158,0.03322119428090833
POOLED_ALL,ALL,ethnicity_model,asian,40,0.008410428931875526
POOLED_ALL,ALL,ethnicity_model,black,14,0.002943650126156434
POOLED_ALL,ALL,gender_model,male,2306,0.48486122792262404
POOLED_ALL,ALL,gender_model,female,2110,0.44365012615643395
POOLED_ALL,ALL,gender_model,unknown,293,0.06160639192598823
POOLED_ALL,ALL,gender_model,other,47,0.009882253994953743
POOLED_ALL,ALL,income_model,unknown,2992,0.6291000841042893
POOLED_ALL,ALL,income_model,medium,814,0.17115222876366695
POOLED_ALL,ALL,income_model,low,543,0.11417157275021025
POOLED_ALL,ALL,income_model,high,407,0.08557611438183348
POOLED_ALL,ALL,language_model,unknown,2972,0.6248948696383515
POOLED_ALL,ALL,language_model,EN,1123,0.23612279226240537
POOLED_ALL,ALL,language_model,ES,633,0.1330950378469302
POOLED_ALL,ALL,language_model,DE,20,0.004205214465937763
POOLED_ALL,ALL,language_model,EU,7,0.001471825063078217
POOLED_ALL,ALL,language_model,NL,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,unknown,3298,0.6934398654331371
POOLED_ALL,ALL,nationality_model,mexico,390,0.08200168208578637
POOLED_ALL,ALL,nationality_model,italy,159,0.03343145500420521
POOLED_ALL,ALL,nationality_model,germany,158,0.03322119428090833
POOLED_ALL,ALL,nationality_model,poland,81,0.01703111858704794
POOLED_ALL,ALL,nationality_model,spain,80,0.01682085786375105
POOLED_ALL,ALL,nationality_model,france,72,0.015138772077375946
POOLED_ALL,ALL,nationality_model,chile,65,0.013666947014297728
POOLED_ALL,ALL,nationality_model,hungary,62,0.013036164844407064
POOLED_ALL,ALL,nationality_model,netherlands,59,0.0124053826745164
POOLED_ALL,ALL,nationality_model,greece,33,0.006938603868797309
POOLED_ALL,ALL,nationality_model,belgium,26,0.0054667788057190915
POOLED_ALL,ALL,nationality_model,united kingdom,24,0.005046257359125316
POOLED_ALL,ALL,nationality_model,ireland,23,0.004835996635828428
POOLED_ALL,ALL,nationality_model,portugal,23,0.004835996635828428
POOLED_ALL,ALL,nationality_model,united states,19,0.003994953742640875
POOLED_ALL,ALL,nationality_model,india,16,0.00336417157275021
POOLED_ALL,ALL,nationality_model,latvia,14,0.002943650126156434
POOLED_ALL,ALL,nationality_model,austria,13,0.0027333894028595458
POOLED_ALL,ALL,nationality_model,turkey,13,0.0027333894028595458
POOLED_ALL,ALL,nationality_model,czech republic,12,0.002523128679562658
POOLED_ALL,ALL,nationality_model,slovenia,12,0.002523128679562658
POOLED_ALL,ALL,nationality_model,finland,9,0.0018923465096719932
POOLED_ALL,ALL,nationality_model,sweden,7,0.001471825063078217
POOLED_ALL,ALL,nationality_model,romania,6,0.001261564339781329
POOLED_ALL,ALL,nationality_model,brazil,5,0.0010513036164844407
POOLED_ALL,ALL,nationality_model,estonia,4,8.410428931875525e-4
POOLED_ALL,ALL,nationality_model,nigeria,4,8.410428931875525e-4
POOLED_ALL,ALL,nationality_model,russian federation,4,8.410428931875525e-4
POOLED_ALL,ALL,nationality_model,south africa,4,8.410428931875525e-4
POOLED_ALL,ALL,nationality_model,venezuela bolivarian republic of,4,8.410428931875525e-4
POOLED_ALL,ALL,nationality_model,canada,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,china,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,indonesia,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,lebanon,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,lithuania,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,syrian arab republic,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,ukraine,3,6.307821698906644e-4
POOLED_ALL,ALL,nationality_model,australia,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,bangladesh,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,croatia,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,ghana,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,iran,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,serbia,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,tunisia,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,vietnam,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,zimbabwe,2,4.2052144659377626e-4
POOLED_ALL,ALL,nationality_model,albania,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,argentina,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,armenia,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,bulgaria,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,colombia,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,denmark,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,egypt,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,kyrgyzstan,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,malaysia,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,morocco,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,pakistan,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,panama,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,peru,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,philippines,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,slovakia,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,switzerland,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,tanzania,1,2.1026072329688813e-4
POOLED_ALL,ALL,nationality_model,uzbekistan,1,2.1026072329688813e-4
POOLED_ALL,ALL,num_children_model,NA,4074,0.8566021867115223
POOLED_ALL,ALL,num_children_model,2,318,0.06686291000841042
POOLED_ALL,ALL,num_children_model,1,288,0.060555088309503784
POOLED_ALL,ALL,num_children_model,3,62,0.013036164844407064
POOLED_ALL,ALL,num_children_model,4,14,0.002943650126156434
POOLED_ALL,ALL,political_block_model,unknown,3803,0.7996215306980656
POOLED_ALL,ALL,political_block_model,left,290,0.06097560975609756
POOLED_ALL,ALL,political_block_model,extreme_left,273,0.05740117746005046
POOLED_ALL,ALL,political_block_model,centre,256,0.05382674516400336
POOLED_ALL,ALL,political_block_model,right,101,0.021236333052985702
POOLED_ALL,ALL,political_block_model,extreme_right,33,0.006938603868797309
POOLED_ALL,ALL,political_left_right_model,NA,3803,0.7996215306980656
POOLED_ALL,ALL,political_left_right_model,50,64,0.01345668629100084
POOLED_ALL,ALL,political_left_right_model,0,61,0.012825904121110177
POOLED_ALL,ALL,political_left_right_model,20,59,0.0124053826745164
POOLED_ALL,ALL,political_left_right_model,25,56,0.011774600504625737
POOLED_ALL,ALL,political_left_right_model,10,46,0.009671993271656855
POOLED_ALL,ALL,political_left_right_model,30,46,0.009671993271656855
POOLED_ALL,ALL,political_left_right_model,60,41,0.008620689655172414
POOLED_ALL,ALL,political_left_right_model,15,40,0.008410428931875526
POOLED_ALL,ALL,political_left_right_model,40,39,0.008200168208578638
POOLED_ALL,ALL,political_left_right_model,45,23,0.004835996635828428
POOLED_ALL,ALL,political_left_right_model,35,22,0.004625735912531539
POOLED_ALL,ALL,political_left_right_model,55,22,0.004625735912531539
POOLED_ALL,ALL,political_left_right_model,65,20,0.004205214465937763
POOLED_ALL,ALL,political_left_right_model,75,17,0.0035744322960470985
POOLED_ALL,ALL,political_left_right_model,19,16,0.00336417157275021
POOLED_ALL,ALL,political_left_right_model,70,16,0.00336417157275021
POOLED_ALL,ALL,political_left_right_model,33,15,0.003153910849453322
POOLED_ALL,ALL,political_left_right_model,23,14,0.002943650126156434
POOLED_ALL,ALL,political_left_right_model,11,10,0.0021026072329688814
POOLED_ALL,ALL,political_left_right_model,12,10,0.0021026072329688814
POOLED_ALL,ALL,political_left_right_model,7,10,0.0021026072329688814
POOLED_ALL,ALL,political_left_right_model,80,10,0.0021026072329688814
POOLED_ALL,ALL,political_left_right_model,100,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,16,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,17,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,26,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,37,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,85,9,0.0018923465096719932
POOLED_ALL,ALL,political_left_right_model,13,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,14,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,18,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,36,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,5,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,51,8,0.001682085786375105
POOLED_ALL,ALL,political_left_right_model,21,7,0.001471825063078217
POOLED_ALL,ALL,political_left_right_model,22,7,0.001471825063078217
POOLED_ALL,ALL,political_left_right_model,24,7,0.001471825063078217
POOLED_ALL,ALL,political_left_right_model,49,7,0.001471825063078217
