Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
633c2c0617890f54613281eb,6043ce3bc960ed3f0dbff020,APPROVED,2022-10-04T12:50:19.402000Z,2022-10-04T14:18:47.459000Z,2022-10-05T13:40:50.317000Z,2022-10-04T14:18:47.868000Z,5309.0,CYDMOCQ1,52,,,29,Female,White,Germany,Ireland,Germany,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2c092e68fbbf7cf172fb,60fd2de5bb1c80a35dfe3bb3,APPROVED,2022-10-04T12:50:20.561000Z,2022-10-04T13:42:14.802000Z,2022-10-05T13:40:50.432000Z,2022-10-04T13:42:15.256000Z,3115.0,CYDMOCQ1,260,,,24,Female,Mixed,United States,Ireland,Ireland,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2c1e0e29e2acd675bad3,60ec003195a012028e8b2879,APPROVED,2022-10-04T12:52:56.236000Z,2022-10-04T13:06:10.672000Z,2022-10-05T13:40:50.548000Z,2022-10-04T13:06:11.112000Z,795.0,CYDMOCQ1,893,,,57,Female,White,United Kingdom,Ireland,United Kingdom,English,No,Part-Time,Not Applicable
633c2c1f84af5c75d672e2c3,5f48da80995b8b28c50147be,APPROVED,2022-10-04T12:50:39.360000Z,2022-10-04T13:11:13.121000Z,2022-10-05T13:40:50.679000Z,2022-10-04T13:11:13.472000Z,1234.0,CYDMOCQ1,282,,,29,Female,White,Latvia,Latvia,Latvia,Latvian,No,Full-Time,Not Applicable
633c2c20e5a119cb15cd3d73,5e12603776c03b8d43b40747,APPROVED,2022-10-04T12:50:43.370000Z,2022-10-04T13:02:52.044000Z,2022-10-05T13:40:50.815000Z,2022-10-04T13:02:52.461000Z,729.0,CYDMOCQ1,630,,,42,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time,Not Applicable
633c2c850525b4572a0ded59,5c449a3175d0ee000197f2ce,APPROVED,2022-10-04T12:54:48.777000Z,2022-10-04T13:14:14.110000Z,2022-10-05T13:40:50.931000Z,2022-10-04T13:14:14.529000Z,1166.0,nocode,516,,,37,Female,White,Sweden,Sweden,Sweden,Swedish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2cadff8c4d9ace13f117,5f4a33e6d0e4f9031cdc7428,APPROVED,2022-10-04T12:54:34.337000Z,2022-10-04T13:22:33.778000Z,2022-10-05T13:40:51.045000Z,2022-10-04T13:22:34.367000Z,1680.0,CYDMOCQ1,557,,,31,Female,White,United Kingdom,Sweden,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2cf5a0e51456ce42d1dc,5ec96e3609117f0a67231842,APPROVED,2022-10-04T12:59:31.255000Z,2022-10-04T13:27:31.923000Z,2022-10-05T13:40:46.157000Z,2022-10-04T13:27:32.243000Z,1681.0,CYDMOCQ1,1853,,,52,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,Not Applicable
633c2cf71050f0fcdbe9585a,610512f51cdd5835f2bd1a1c,APPROVED,2022-10-04T12:54:15.422000Z,2022-10-04T13:35:16.761000Z,2022-10-05T13:40:51.160000Z,2022-10-04T13:35:18.454000Z,2462.0,CYDMOCQ1,248,,,24,Female,White,Hungary,Sweden,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2d43da2f2d617ce29535,6107acc592df914a921e2b41,APPROVED,2022-10-04T12:56:51.106000Z,2022-10-04T13:30:17.279000Z,2022-10-05T13:40:46.289000Z,2022-10-04T13:30:17.687000Z,2007.0,CYDMOCQ1,1065,,,49,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time,Not Applicable
633c2d5890d8e507fff17286,615e1c72368cadad1a8c9f4e,APPROVED,2022-10-04T12:55:55.855000Z,2022-10-04T13:22:08.579000Z,2022-10-05T13:40:51.276000Z,2022-10-04T13:22:08.982000Z,1573.0,CYDMOCQ1,139,,,50,Female,White,Ireland,Ireland,Ireland,English,No,Unemployed (and job seeking),Not Applicable
633c2d70618941fe81686acc,5c3211cd24d16c00015b1095,APPROVED,2022-10-04T12:56:16.560000Z,2022-10-04T13:17:25.745000Z,2022-10-05T13:40:46.405000Z,2022-10-04T13:17:26.167000Z,1270.0,CYDMOCQ1,415,,,28,Male,White,Latvia,Latvia,Latvia,Latvian,No,Unemployed (and job seeking),Not Applicable
633c2df7c2466e8af5eded40,60b813c4fc5537ec416c41cd,APPROVED,2022-10-04T12:58:31.762000Z,2022-10-04T13:07:31.497000Z,2022-10-05T13:40:46.524000Z,2022-10-04T13:07:31.897000Z,540.0,CYDMOCQ1,143,,,26,Male,Mixed,Malaysia,Ireland,Ireland,Chinese,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2dfb84069d4efa8b1508,5f6e83419dd5cb3c85325fc6,APPROVED,2022-10-04T12:58:39.282000Z,2022-10-04T13:24:17.590000Z,2022-10-05T13:40:51.393000Z,2022-10-04T13:24:17.992000Z,1539.0,CYDMOCQ1,573,,,68,Female,White,Sweden,Sweden,Sweden,Swedish,No,DATA_EXPIRED,Not Applicable
633c2e01d54e68d941135be1,5e4e6e53f4bdd82b601f2e9a,APPROVED,2022-10-04T12:58:45.527000Z,2022-10-04T13:22:50.084000Z,2022-10-05T13:40:51.514000Z,2022-10-04T13:22:50.970000Z,1445.0,CYDMOCQ1,500,,,55,Female,White,United Kingdom,Ireland,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2e297dfb2893c5613fc9,5b45113dcd6a5500018c5dd0,APPROVED,2022-10-04T12:59:21.883000Z,2022-10-04T13:20:51.643000Z,2022-10-05T13:40:46.644000Z,2022-10-04T13:20:51.987000Z,1290.0,CYDMOCQ1,813,,,31,Male,White,Finland,Finland,Finland,Finnish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2e4dedcf4ef6118b1554,5991980db83f800001a5e38f,APPROVED,2022-10-04T13:00:25.261000Z,2022-10-04T13:23:40.634000Z,2022-10-05T13:40:46.760000Z,2022-10-04T13:23:41.027000Z,1396.0,CYDMOCQ1,343,,,69,Male,White,United Kingdom,Ireland,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
633c2e5530b85f53f5ee91c0,6033e14232d8420e2e0d1986,APPROVED,2022-10-04T13:00:09.569000Z,2022-10-04T13:12:12.686000Z,2022-10-05T13:40:51.646000Z,2022-10-04T13:12:13.105000Z,724.0,CYDMOCQ1,500,,,33,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time,Not Applicable
