bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
87,6,MR6,MR5,37.5
88,1,MR1,MR5,25
88,2,MR2,MR4,37.5
88,3,MR3,MR6,62.5
88,4,MR4,MR3,37.5
88,5,MR5,MR1,50
88,6,MR6,MR2,50
89,1,MR1,MR4,37.5
89,2,MR2,MR6,50
89,3,MR3,MR1,50
89,4,MR4,MR3,50
89,5,MR5,MR5,37.5
89,6,MR6,MR2,37.5
90,1,MR1,MR2,50
90,2,MR2,MR6,37.5
90,3,MR3,MR4,37.5
90,4,MR4,MR5,37.5
90,5,MR5,MR1,37.5
90,6,MR6,MR3,37.5
91,1,MR1,MR1,25
91,2,MR2,MR5,50
91,3,MR3,MR3,25
91,4,MR4,MR4,50
91,5,MR5,MR6,37.5
91,6,MR6,MR2,37.5
92,1,MR1,MR5,50
92,2,MR2,MR2,62.5
92,3,MR3,MR4,25
92,4,MR4,MR6,37.5
92,5,MR5,MR1,37.5
92,6,MR6,MR3,12.5
93,1,MR1,MR6,37.5
93,2,MR2,MR2,50
93,3,MR3,MR5,37.5
93,4,MR4,MR3,37.5
93,5,MR5,MR1,37.5
93,6,MR6,MR4,25
94,1,MR1,MR5,62.5
94,2,MR2,MR6,50
94,3,MR3,MR1,25
94,4,MR4,MR3,50
94,5,MR5,MR4,37.5
94,6,MR6,MR2,37.5
95,1,MR1,MR3,37.5
95,2,MR2,MR6,50
95,3,MR3,MR1,50
95,4,MR4,MR5,25
95,5,MR5,MR2,37.5
95,6,MR6,MR4,50
96,1,MR1,MR3,37.5
96,2,MR2,MR1,62.5
96,3,MR3,MR5,37.5
96,4,MR4,MR6,37.5
96,5,MR5,MR2,37.5
96,6,MR6,MR4,12.5
97,1,MR1,MR1,25
97,2,MR2,MR5,37.5
97,3,MR3,MR6,25
97,4,MR4,MR4,37.5
97,5,MR5,MR2,50
97,6,MR6,MR3,37.5
98,1,MR1,MR6,25
98,2,MR2,MR1,37.5
98,3,MR3,MR5,50
98,4,MR4,MR4,50
98,5,MR5,MR2,50
98,6,MR6,MR3,37.5
99,1,MR1,MR1,100
99,2,MR2,MR2,100
99,3,MR3,MR3,100
99,4,MR4,MR4,100
99,5,MR5,MR5,100
99,6,MR6,MR6,100
100,1,MR1,MR5,50
100,2,MR2,MR1,50
100,3,MR3,MR3,50
100,4,MR4,MR4,25
100,5,MR5,MR6,50
100,6,MR6,MR2,50
