matrix,matrix_name,d_det,d_hamming,min_common_determinants,min_common_pct,coverage_P1,coverage_P2,coverage_P3,coverage_P4,coverage_P5,coverage_P6,coverage_P7,coverage_P8,k_for_80,k_for_85,k_for_90,max_coverage_available
EXT,matrix_32_ext_0_1,9,4,7,77.77777777777777,29.441666666665945,56.91285714285581,64.64214285714138,70.7945238095222,72.65880952380786,74.04404761904593,75.43071428571257,76.21833333333159,NA,NA,NA,78.61523809523631
EXT,matrix_32_ext_0_1,10,4,8,80,27.89285714285647,51.11761904761786,58.858333333331984,64.70166666666519,67.1890476190461,69.49380952380794,70.27833333333174,71.52952380952219,NA,NA,NA,76.51928571428398
EXT,matrix_32_ext_0_1,11,4,9,81.81818181818181,20.618095238094757,46.394761904760834,54.54738095237969,59.59238095237958,62.53404761904617,63.81047619047471,66.56142857142702,68.09023809523651,NA,NA,NA,74.19642857142685
EXT,matrix_32_ext_0_1,12,6,9,75,25.50761904761848,59.132619047617474,69.7909523809506,72.63499999999816,77.71214285714089,81.08785714285511,81.87857142856937,83.74380952380743,6,10,NA,86.82619047618833
EXT,matrix_32_ext_0_1,13,6,10,76.92307692307692,26.136904761904137,58.44452380952226,70.8788095238077,72.87976190476004,75.33285714285522,78.0907142857123,78.78190476190275,82.79833333333124,8,NA,NA,84.65523809523596
EXT,matrix_32_ext_0_1,14,6,11,78.57142857142857,25.81976190476127,54.949999999998674,65.72857142856984,68.66261904761738,74.72714285714105,79.04952380952189,81.41333333333135,82.46999999999801,7,NA,NA,84.98547619047413
EXT,matrix_32_ext_0_1,15,6,12,80,26.813571428570743,53.363571428570104,62.25261904761752,73.11142857142679,75.10095238095055,77.17833333333147,79.0640476190457,79.36999999999807,9,NA,NA,81.52880952380754
Z_ABS,matrix_32_z_abs,8,4,6,75,18.5880952380947,30.847619047618167,38.594285714284624,44.131904761903506,46.54428571428439,51.35380952380806,52.41428571428421,53.26119047618895,NA,NA,NA,61.00404761904585
Z_ABS,matrix_32_z_abs,9,4,7,77.77777777777777,19.000952380951784,31.32214285714189,37.11499999999886,40.2578571428559,46.37952380952237,47.634047619046136,48.36214285714135,49.78119047618893,NA,NA,NA,56.46523809523633
Z_ABS,matrix_32_z_abs,10,4,8,80,18.798333333332696,30.5995238095228,35.992857142855954,37.48238095237971,39.4292857142844,41.2316666666653,41.99999999999861,45.39809523809373,NA,NA,NA,50.62547619047451
Z_ABS,matrix_32_z_abs,11,4,9,81.81818181818181,16.831428571428024,27.943809523808618,31.688095238094196,33.32714285714176,38.160238095236835,41.254523809522446,42.94809523809382,44.55214285714139,NA,NA,NA,49.26119047618886
Z_ABS,matrix_32_z_abs,12,6,9,75,20.9688095238088,36.692857142855814,42.40666666666513,49.918333333331525,55.31309523809324,58.47976190475979,62.82999999999773,64.53285714285481,NA,NA,NA,70.12095238094984
Z_ABS,matrix_32_z_abs,13,6,10,76.92307692307692,20.67142857142782,35.672857142855804,38.48309523809379,43.912380952379294,51.7978571428552,57.46142857142642,60.4664285714263,61.59999999999769,NA,NA,NA,66.07309523809276
Z_ABS,matrix_32_z_abs,14,6,11,78.57142857142857,16.82595238095175,34.9114285714273,44.01714285714126,50.29928571428388,53.96071428571232,55.33833333333131,58.69333333333118,59.57071428571211,NA,NA,NA,64.4078571428548
Z_ABS,matrix_32_z_abs,15,6,12,80,19.03857142857082,31.22714285714186,42.94333333333194,47.932857142855575,48.826904761903165,49.94499999999836,50.71261904761738,53.30285714285539,NA,NA,NA,61.797380952378894
