analysis_sample,matrix_name,matrix,n_valid_efa_bootstraps,efa_reference_bootstrap,mean_efa_alignment_similarity,median_efa_alignment_similarity,coverage_after_6_prototypes,mean_similarity__EFA_vs_EXPERTS,mean_similarity__KM_vs_EFA,mean_similarity__KM_vs_EXPERTS,median_similarity__EFA_vs_EXPERTS,median_similarity__KM_vs_EFA,median_similarity__KM_vs_EXPERTS,n_gt50__EFA_vs_EXPERTS,n_gt50__KM_vs_EFA,n_gt50__KM_vs_EXPERTS,n_ge50__EFA_vs_EXPERTS,n_ge50__KM_vs_EFA,n_ge50__KM_vs_EXPERTS
LATAM,matrix_32_ext_0_1,EXT,100,84,72.41666666666667,75,82.03761904761778,29.223924223924225,50,35.650691900691896,29.02097902097902,56.25,39.58333333333333,0,3,0,0,4,0
LATAM,matrix_32_z_abs,Z_ABS,100,32,68.41666666666667,75,29.16285714285625,30.757575757575758,56.25,33.3479020979021,27.77777777777778,56.25,32.05128205128205,1,3,1,1,5,1
DIEGO,matrix_32_raw_0_1,RAW,100,22,51.97916666666667,50,22.491666666665925,38.87085137085137,41.666666666666664,26.546460075871842,42.26190476190476,37.5,24.747474747474747,1,2,0,1,3,0
DIEGO,matrix_32_pos_0_1,POS,100,77,48.333333333333336,50,47.82499999999857,37.118437118437114,39.583333333333336,41.25915750915751,37.60683760683761,37.5,38.75,2,2,1,2,3,1
DIEGO,matrix_32_ext_0_1,EXT,100,58,42.020833333333336,37.5,2.1728571428570773,22.909035409035408,37.5,26.71462524403701,23.214285714285715,37.5,24.747474747474747,0,1,0,0,2,0
DIEGO,matrix_32_z_abs,Z_ABS,100,99,42.10416666666667,37.5,2.0042857142856545,26.196026196026196,41.666666666666664,29.701317201317202,24.35064935064935,37.5,26.136363636363637,0,1,1,0,2,1
RENOVISOR,matrix_32_raw_0_1,RAW,100,30,81.125,87.5,87.10452380952287,32.694342694342694,45.833333333333336,39.16245791245791,35.38461538461539,43.75,40.97222222222222,0,1,2,0,3,2
RENOVISOR,matrix_32_pos_0_1,POS,100,22,71.27083333333334,75,88.452142857142,34.7551495345613,47.916666666666664,44.60016835016835,38.75,50,46.02272727272727,0,2,3,0,5,3
RENOVISOR,matrix_32_ext_0_1,EXT,100,85,66.91666666666666,62.5,79.80857142856995,30.573130573130573,41.666666666666664,49.534770784770785,29.02097902097902,37.5,51.25,0,2,3,0,2,3
RENOVISOR,matrix_32_z_abs,Z_ABS,100,68,69.625,75,39.225476190475256,32.091750841750844,56.25,27.636622636622636,32.38636363636364,56.25,29.02097902097902,0,3,0,0,4,0
WHY_EUROPE,matrix_32_raw_0_1,RAW,100,32,63.20833333333333,62.5,72.89904761904636,31.34874384874385,41.666666666666664,39.40559440559441,27.884615384615387,43.75,35.38461538461539,1,2,2,1,3,2
WHY_EUROPE,matrix_32_pos_0_1,POS,100,32,59.29166666666667,62.5,81.3135714285705,30.96995596995597,39.583333333333336,42.37794612794613,29.02097902097902,43.75,40.83333333333333,0,2,2,0,3,2
WHY_EUROPE,matrix_32_ext_0_1,EXT,100,46,56.52083333333333,50,67.0154761904747,29.413179413179414,50,39.0031265031265,24.35064935064935,37.5,42.26190476190476,1,2,1,1,2,1
WHY_EUROPE,matrix_32_z_abs,Z_ABS,100,6,50.91666666666666,50,6.053333333333149,30.260338789750556,47.916666666666664,33.896103896103895,29.02097902097902,43.75,28.636363636363637,0,2,1,0,3,1
WHY_LATAM,matrix_32_raw_0_1,RAW,100,45,79.375,87.5,91.3240476190465,27.928226457638225,39.583333333333336,35.879629629629626,29.02097902097902,43.75,39.58333333333333,0,1,0,0,3,0
WHY_LATAM,matrix_32_pos_0_1,POS,100,84,75.8125,75,92.44785714285652,29.413179413179414,39.583333333333336,34.785353535353536,26.136363636363637,43.75,35.41666666666667,0,3,0,0,3,0
WHY_LATAM,matrix_32_ext_0_1,EXT,100,84,72.41666666666667,75,82.60428571428449,29.223924223924225,43.75,35.86159211159211,29.02097902097902,43.75,39.58333333333333,0,3,0,0,3,0
WHY_LATAM,matrix_32_z_abs,Z_ABS,100,32,68.39583333333333,75,26.831666666665832,30.757575757575758,52.083333333333336,29.86111111111111,27.77777777777778,50,31.25,1,2,0,1,5,0
