analysis_sample,matrix,matrix_name,d_det,d_hamming,min_common_determinants,min_common_pct,coverage_P1,coverage_P2,coverage_P3,coverage_P4,coverage_P5,coverage_P6,coverage_P7,coverage_P8,prototypes_for_80,prototypes_for_85,prototypes_for_90,max_coverage_available
COMPLETE,POS,matrix_32_pos_0_1,15,6,12,80,53.75285714285694,95.05880952380888,96.82952380952318,98.47357142857078,98.71285714285648,99.35880952380886,99.47428571428506,99.51428571428504,2,2,2,99.87499999999936
COMPLETE,EXT,matrix_32_ext_0_1,8,4,6,75,32.07190476190417,49.41357142857055,69.0549999999988,77.86428571428438,82.81785714285571,84.56261904761759,85.45309523809377,87.1152380952366,5,7,12,90.20999999999846
COMPLETE,EXT,matrix_32_ext_0_1,9,4,7,77.77777777777777,26.311904761904295,39.95833333333264,52.31928571428481,60.0685714285704,73.27380952380828,81.56071428571292,83.87738095237953,86.04499999999854,6,8,NA,88.29119047618896
COMPLETE,EXT,matrix_32_ext_0_1,10,4,8,80,25.919761904761454,40.11404761904692,50.75023809523722,59.45999999999899,68.15380952380838,79.35142857142725,80.72238095237961,83.13595238095098,7,10,NA,86.77809523809377
COMPLETE,EXT,matrix_32_ext_0_1,11,4,9,81.81818181818181,24.949523809523363,44.053809523808745,55.41571428571332,62.53738095237986,67.41857142857025,76.8080952380939,77.8671428571415,81.39190476190333,8,12,NA,85.2557142857128
COMPLETE,EXT,matrix_32_ext_0_1,12,6,9,75,29.601666666665995,62.63880952380794,83.70833333333137,85.57904761904562,89.44142857142648,90.15785714285504,92.55880952380738,93.22047619047405,3,4,6,94.32309523809306
COMPLETE,EXT,matrix_32_ext_0_1,13,6,10,76.92307692307692,30.54142857142776,63.11642857142676,76.81547619047412,86.65714285714058,88.99119047618815,90.54809523809288,90.88095238095,91.01785714285477,4,4,6,92.8547619047595
COMPLETE,EXT,matrix_32_ext_0_1,14,6,11,78.57142857142857,29.555952380951748,64.34452380952216,78.16761904761712,80.0571428571409,85.40833333333126,88.37785714285499,90.70404761904544,90.7909523809502,4,5,7,92.44190476190252
COMPLETE,EXT,matrix_32_ext_0_1,15,6,12,80,31.32095238095161,65.83499999999827,74.10928571428381,85.21976190475978,87.69452380952164,88.60428571428352,89.9233333333311,90.81047619047396,4,4,8,93.61642857142628
COMPLETE,Z_ABS,matrix_32_z_abs,8,4,6,75,22.076666666666117,36.993809523808615,46.2230952380941,47.41285714285598,50.37047619047495,52.34499999999871,56.39357142857004,60.81666666666516,NA,NA,NA,67.23476190476023
COMPLETE,Z_ABS,matrix_32_z_abs,9,4,7,77.77777777777777,21.305952380951812,34.21071428571338,40.54928571428463,43.88738095237977,45.51619047618926,48.055714285712995,50.66452380952244,54.135714285712815,NA,NA,NA,60.18428571428407
COMPLETE,Z_ABS,matrix_32_z_abs,10,4,8,80,19.89523809523754,31.5764285714277,33.37214285714194,36.98166666666564,42.78976190476072,45.77571428571301,46.59666666666536,47.74976190476057,NA,NA,NA,56.101904761903185
COMPLETE,Z_ABS,matrix_32_z_abs,11,4,9,81.81818181818181,18.243095238094693,29.714761904761023,32.66833333333236,36.13952380952273,41.097619047617826,43.92857142857012,45.878333333331966,47.6838095238081,NA,NA,NA,54.53142857142694
COMPLETE,Z_ABS,matrix_32_z_abs,12,6,9,75,25.979523809523037,43.37928571428441,52.87523809523649,60.68523809523626,62.273809523807635,65.20166666666468,67.78285714285508,70.4866666666645,NA,NA,NA,76.2780952380929
COMPLETE,Z_ABS,matrix_32_z_abs,13,6,10,76.92307692307692,19.953333333332665,36.969999999998755,46.466904761903194,50.97690476190303,56.879285714283775,60.929761904759815,62.69976190475976,65.91690476190252,NA,NA,NA,73.80976190475936
COMPLETE,Z_ABS,matrix_32_z_abs,14,6,11,78.57142857142857,16.893809523808965,36.24976190476072,47.55833333333178,56.04523809523628,60.6052380952361,63.113333333331255,65.83023809523593,68.18619047618823,NA,NA,NA,72.56047619047379
COMPLETE,Z_ABS,matrix_32_z_abs,15,6,12,80,18.19595238095175,34.579285714284474,46.52428571428408,54.021190476188565,59.57857142856931,61.726904761902574,64.2414285714263,64.79404761904532,NA,NA,NA,70.37261904761655
EUROPE,RAW,matrix_32_raw_0_1,8,4,6,75,28.611190476190124,56.301666666666016,69.93619047618968,73.94333333333249,79.1102380952372,85.1871428571419,87.74809523809425,92.50642857142752,6,6,8,94.65738095237988
EUROPE,RAW,matrix_32_raw_0_1,9,4,7,77.77777777777777,23.860476190475893,37.80238095238048,59.692619047618315,68.33595238095155,72.16285714285625,80.16547619047522,85.65166666666563,87.17523809523703,6,7,11,92.68214285714171
EUROPE,RAW,matrix_32_raw_0_1,10,4,8,80,25.036190476190153,42.7878571428566,54.22928571428504,58.91261904761832,66.81928571428489,71.58785714285627,77.46547619047523,85.49928571428467,8,8,11,90.55595238095128
EUROPE,RAW,matrix_32_raw_0_1,11,4,9,81.81818181818181,14.932857142856946,28.88476190476152,55.94595238095162,62.03404761904678,72.93904761904665,77.42119047618945,83.9835714285703,87.30547619047502,7,8,12,90.86833333333212
EUROPE,RAW,matrix_32_raw_0_1,12,6,9,75,39.22142857142772,69.8797619047605,84.78761904761741,88.58214285714116,91.13857142856968,94.21785714285537,94.51190476190295,95.08571428571248,3,4,5,96.94166666666484
EUROPE,RAW,matrix_32_raw_0_1,13,6,10,76.92307692307692,37.57690476190401,63.88595238095129,71.145476190475,88.68547619047479,92.00071428571285,94.37904761904612,94.93333333333184,96.69976190476036,4,4,5,97.99690476190324
EUROPE,RAW,matrix_32_raw_0_1,14,6,11,78.57142857142857,24.579761904761583,36.84142857142809,68.12142857142746,87.19309523809386,91.39047619047476,92.24023809523666,93.4371428571414,94.65857142856996,4,4,5,97.30642857142706
EUROPE,RAW,matrix_32_raw_0_1,15,6,12,80,13.724047619047424,47.12809523809432,64.5416666666655,83.19428571428428,89.26476190476038,91.55976190476036,94.30214285714126,94.6445238095222,4,5,6,97.20857142856975
EUROPE,POS,matrix_32_pos_0_1,8,4,6,75,32.407380952380514,72.92142857142758,81.51142857142749,85.1842857142846,89.01404761904647,91.620476190475,93.44976190476068,94.08214285714163,3,4,6,95.86095238095112
EUROPE,POS,matrix_32_pos_0_1,9,4,7,77.77777777777777,49.799285714285126,73.39642857142776,81.01190476190389,84.17071428571337,85.95095238095146,88.13476190476095,88.83452380952285,91.99166666666568,3,5,8,94.15619047618948
EUROPE,POS,matrix_32_pos_0_1,10,4,8,80,44.56261904761855,66.90690476190407,73.80357142857068,80.42880952380871,84.50952380952295,87.08809523809435,90.33738095238004,90.83690476190384,4,6,7,94.22452380952286
EUROPE,POS,matrix_32_pos_0_1,11,4,9,81.81818181818181,42.064523809523266,65.47642857142776,74.22357142857052,79.33666666666572,82.55285714285615,83.27190476190377,86.05595238095134,88.17428571428466,5,7,10,93.93071428571317
EUROPE,POS,matrix_32_pos_0_1,12,6,9,75,55.66619047619012,82.95119047618985,87.87785714285647,91.64571428571358,92.03857142857072,95.45619047618972,96.45452380952304,98.18499999999923,2,3,4,99.02785714285636
EUROPE,POS,matrix_32_pos_0_1,13,6,10,76.92307692307692,61.40976190476162,83.04976190476138,87.67428571428515,92.06523809523746,92.4080952380946,98.0445238095231,98.60714285714216,98.93809523809452,2,3,4,99.43214285714214
EUROPE,POS,matrix_32_pos_0_1,14,6,11,78.57142857142857,46.7599999999994,83.19976190476073,86.79642857142734,94.04499999999872,96.31499999999868,96.78999999999868,97.91452380952248,98.07523809523676,2,3,4,99.11904761904626
EUROPE,POS,matrix_32_pos_0_1,15,6,12,80,51.09928571428508,86.53404761904648,94.7697619047607,97.7921428571416,98.1583333333321,98.32380952380828,98.48928571428448,98.62976190476068,2,2,3,99.15119047618924
EUROPE,EXT,matrix_32_ext_0_1,8,4,6,75,32.239999999999306,61.37119047618911,69.56214285714134,73.82238095237935,75.179047619046,77.14261904761739,78.05880952380785,79.5399999999983,9,NA,NA,82.5226190476173
EUROPE,EXT,matrix_32_ext_0_1,9,4,7,77.77777777777777,28.37571428571365,55.602857142855946,63.44857142857008,68.56380952380808,72.42619047618894,75.21404761904603,76.00357142856983,76.60095238095076,NA,NA,NA,79.36476190476023
EUROPE,EXT,matrix_32_ext_0_1,10,4,8,80,26.951190476189893,49.974999999998936,58.634285714284466,64.34690476190339,66.94904761904618,70.3492857142842,72.34071428571274,73.25238095237937,NA,NA,NA,76.01499999999838
EUROPE,EXT,matrix_32_ext_0_1,11,4,9,81.81818181818181,19.844047619047146,44.88428571428466,53.249761904760646,57.27357142857007,61.311190476189026,64.33452380952228,66.00238095237938,69.9873809523793,NA,NA,NA,73.91976190476016
EUROPE,EXT,matrix_32_ext_0_1,12,6,9,75,32.69761904761815,58.06714285714139,70.07261904761737,77.75595238095052,80.1540476190457,81.27666666666472,82.43928571428374,83.25976190475991,5,11,NA,85.96547619047415
EUROPE,EXT,matrix_32_ext_0_1,13,6,10,76.92307692307692,24.96452380952323,55.95404761904629,64.47571428571277,73.24499999999831,75.8566666666649,79.93142857142671,80.4114285714267,81.6102380952362,7,12,NA,85.43738095237896
EUROPE,EXT,matrix_32_ext_0_1,14,6,11,78.57142857142857,25.751666666666026,53.06928571428444,66.18380952380797,72.70857142856971,76.44142857142675,77.44428571428388,78.68880952380766,79.93976190476,9,NA,NA,82.79785714285518
EUROPE,EXT,matrix_32_ext_0_1,15,6,12,80,24.099285714285095,50.987380952379695,66.07619047618884,71.37285714285538,72.94285714285535,73.75571428571246,76.08642857142668,76.9245238095219,NA,NA,NA,79.77952380952182
EUROPE,Z_ABS,matrix_32_z_abs,8,4,6,75,18.69928571428524,31.55595238095159,38.520476190475215,45.66142857142742,48.13119047618925,49.749761904760646,54.29928571428433,55.3395238095224,NA,NA,NA,61.46095238095082
EUROPE,Z_ABS,matrix_32_z_abs,9,4,7,77.77777777777777,19.457142857142266,31.37476190476097,37.15285714285603,44.06023809523678,45.61428571428435,49.72261904761755,52.01261904761749,53.59023809523647,NA,NA,NA,56.04976190476019
EUROPE,Z_ABS,matrix_32_z_abs,10,4,8,80,18.715952380951784,31.247380952379984,36.293095238094104,42.99476190476055,45.174999999998576,46.097857142855695,47.33357142856994,49.98476190476033,NA,NA,NA,53.37071428571261
EUROPE,Z_ABS,matrix_32_z_abs,11,4,9,81.81818181818181,16.41666666666615,28.08428571428483,33.894047619046546,36.35404761904646,39.786428571427294,41.421904761903434,44.24190476190334,45.372857142855686,NA,NA,NA,47.94595238095083
EUROPE,Z_ABS,matrix_32_z_abs,12,6,9,75,20.324047619046937,36.52261904761782,47.83595238095077,50.36380952380783,52.67999999999822,57.875238095236135,64.07285714285497,65.70428571428349,NA,NA,NA,70.78738095237854
EUROPE,Z_ABS,matrix_32_z_abs,13,6,10,76.92307692307692,20.124285714285,35.648333333332026,47.61404761904589,49.27880952380772,54.175714285712296,55.207380952378934,56.6671428571408,61.01095238095015,NA,NA,NA,65.48428571428332
EUROPE,Z_ABS,matrix_32_z_abs,14,6,11,78.57142857142857,20.23595238095168,34.64761904761784,44.04380952380801,47.8276190476174,52.68428571428388,53.17238095237911,57.809999999997984,59.10476190475984,NA,NA,NA,62.30499999999781
EUROPE,Z_ABS,matrix_32_z_abs,15,6,12,80,16.41428571428514,33.253571428570226,45.465714285712664,47.73333333333163,48.68690476190302,50.08380952380774,53.63047619047427,55.944285714283716,NA,NA,NA,61.63071428571208
LATAM,RAW,matrix_32_raw_0_1,8,4,6,75,19.78142857142831,48.00714285714217,73.03880952380852,80.25547619047511,88.04857142857026,91.9492857142845,92.6590476190464,94.01119047618924,4,5,6,94.84880952380828
LATAM,RAW,matrix_32_raw_0_1,9,4,7,77.77777777777777,18.52119047619024,41.73690476190423,68.75809523809436,76.72238095237998,83.84999999999893,85.64976190476082,89.54166666666553,90.48642857142742,5,6,8,92.40976190476071
LATAM,RAW,matrix_32_raw_0_1,10,4,8,80,16.156190476190243,35.87642857142806,53.263333333332575,69.41452380952283,76.84738095237985,82.47238095237977,85.28880952380831,88.33666666666541,6,7,9,92.97333333333202
LATAM,RAW,matrix_32_raw_0_1,11,4,9,81.81818181818181,17.109047619047363,36.63857142857088,53.285238095237304,65.29119047618951,75.21166666666556,80.43380952380834,82.61761904761782,86.44809523809396,6,8,10,93.36904761904624
LATAM,RAW,matrix_32_raw_0_1,12,6,9,75,26.139285714285343,64.61380952380841,87.1188095238081,89.41357142856997,94.47309523809368,95.66999999999844,95.82357142856988,95.93904761904606,3,3,5,97.7309523809508
LATAM,RAW,matrix_32_raw_0_1,13,6,10,76.92307692307692,27.302380952380556,58.06880952380857,89.50452380952225,92.87571428571268,94.36595238095076,95.7069047619031,95.86047619047454,95.97595238095072,3,3,4,97.1314285714269
LATAM,RAW,matrix_32_raw_0_1,14,6,11,78.57142857142857,33.40071428571363,56.83880952380853,85.37928571428426,91.42976190476035,94.55833333333172,95.17047619047456,95.324047619046,96.03261904761744,3,3,4,97.27619047618884
LATAM,RAW,matrix_32_raw_0_1,15,6,12,80,47.85357142857052,71.03761904761775,81.57999999999856,86.95404761904611,94.25285714285552,95.63190476190312,95.78547619047455,95.8926190476174,3,4,5,96.69738095237928
LATAM,POS,matrix_32_pos_0_1,8,4,6,75,59.80380952380907,77.97023809523743,83.59476190476117,88.3157142857135,90.46714285714204,91.59095238095156,93.45142857142774,94.1235714285706,3,4,5,96.85738095238008
LATAM,POS,matrix_32_pos_0_1,9,4,7,77.77777777777777,59.55380952380918,67.27380952380909,81.73285714285655,86.41357142857076,90.55999999999928,91.72404761904689,93.29428571428498,93.56333333333258,3,4,5,95.98023809523733
LATAM,POS,matrix_32_pos_0_1,10,4,8,80,36.51690476190423,68.52928571428473,79.4340476190465,87.58595238095117,90.41952380952256,91.4571428571416,92.83499999999871,93.47738095237968,4,4,5,96.12880952380824
LATAM,POS,matrix_32_pos_0_1,11,4,9,81.81818181818181,36.24571428571381,72.96785714285616,77.652619047618,81.91142857142748,86.09452380952266,88.48547619047501,90.82476190476068,92.44047619047495,4,5,7,95.183095238094
LATAM,POS,matrix_32_pos_0_1,12,6,9,75,53.55571428571349,91.50261904761766,95.00071428571285,96.77904761904615,97.43928571428424,97.91261904761755,98.32833333333186,98.50095238095088,2,2,2,99.57619047618898
LATAM,POS,matrix_32_pos_0_1,13,6,10,76.92307692307692,63.55619047619029,91.43571428571376,95.9611904761899,97.34190476190416,97.62404761904702,97.90928571428512,98.46404761904702,99.0695238095232,2,2,2,99.65238095238033
LATAM,POS,matrix_32_pos_0_1,14,6,11,78.57142857142857,66.25619047619028,93.33904761904712,96.2530952380947,97.38833333333277,98.11928571428514,98.54547619047564,98.82952380952324,99.24523809523753,2,2,2,99.74285714285656
LATAM,POS,matrix_32_pos_0_1,15,6,12,80,68.47499999999968,91.7859523809518,95.02523809523748,96.75499999999936,97.10142857142792,97.2169047619041,98.26999999999934,98.52904761904696,2,2,2,99.44523809523744
LATAM,EXT,matrix_32_ext_0_1,8,4,6,75,19.06619047619019,44.60666666666598,63.90309523809423,74.8071428571417,80.68595238095114,82.03761904761778,84.90499999999868,89.39976190476051,5,8,9,94.1257142857128
LATAM,EXT,matrix_32_ext_0_1,9,4,7,77.77777777777777,19.105714285713933,38.54785714285647,59.45499999999895,74.62714285714152,76.48095238095101,81.08499999999853,82.56404761904612,84.97333333333181,6,9,12,90.76619047618884
LATAM,EXT,matrix_32_ext_0_1,10,4,8,80,18.921190476190084,29.75571428571368,52.68880952380845,68.9649999999986,74.97214285714132,76.06166666666512,79.28666666666504,83.28166666666495,8,9,NA,87.64880952380773
LATAM,EXT,matrix_32_ext_0_1,11,4,9,81.81818181818181,18.04714285714246,43.281904761903824,55.615238095236904,64.51333333333194,69.19976190476041,75.43880952380788,78.92214285714114,81.68523809523633,8,10,NA,86.87809523809334
LATAM,EXT,matrix_32_ext_0_1,12,6,9,75,23.17690476190419,59.68357142856973,74.98285714285505,83.70285714285487,85.58357142856909,89.47047619047376,92.79357142856892,93.22309523809272,4,5,7,96.20952380952122
LATAM,EXT,matrix_32_ext_0_1,13,6,10,76.92307692307692,25.634761904761245,59.09880952380774,70.32357142856937,73.53166666666452,84.56261904761664,87.7499999999975,92.46523809523546,93.63238095237828,5,6,7,95.78619047618776
LATAM,EXT,matrix_32_ext_0_1,14,6,11,78.57142857142857,28.641666666665916,63.04499999999803,78.23714285714048,81.12428571428326,82.89476190475939,87.08690476190212,88.59404761904493,89.73261904761634,4,6,9,93.9833333333305
LATAM,EXT,matrix_32_ext_0_1,15,6,12,80,25.300952380951745,61.1964285714267,71.32071428571216,76.75928571428344,78.38238095237864,81.7595238095214,83.25619047618804,87.31642857142602,6,8,10,91.51119047618782
LATAM,Z_ABS,matrix_32_z_abs,8,4,6,75,2.8197619047618168,8.98404761904734,10.428095238094912,19.7399999999994,24.44309523809449,29.16285714285625,33.986190476189435,36.566190476189355,NA,NA,NA,44.43047619047482
LATAM,Z_ABS,matrix_32_z_abs,9,4,7,77.77777777777777,1.8271428571427992,9.73666666666636,12.955238095237682,14.193095238094786,18.28833333333275,22.785476190475464,28.867857142856224,32.249523809522785,NA,NA,NA,38.52785714285591
LATAM,Z_ABS,matrix_32_z_abs,10,4,8,80,1.7252380952380353,5.7242857142855135,6.858571428571189,15.390714285713742,18.009999999999362,21.795714285713508,24.395714285713417,26.708095238094288,NA,NA,NA,33.276666666665484
LATAM,Z_ABS,matrix_32_z_abs,11,4,9,81.81818181818181,2.1440476190475426,5.646428571428368,6.730714285714044,14.1399999999995,15.563095238094688,19.0061904761898,19.57214285714216,20.209999999999283,NA,NA,NA,28.91047619047516
LATAM,Z_ABS,matrix_32_z_abs,12,6,9,75,3.9471428571427136,6.066428571428351,10.72357142857104,22.511904761903985,24.26142857142773,26.930714285713343,28.864285714284705,37.479999999998675,NA,NA,NA,52.32095238095051
LATAM,Z_ABS,matrix_32_z_abs,13,6,10,76.92307692307692,3.302619047618924,5.303333333333136,17.030238095237493,21.559285714284943,26.72880952380856,37.14499999999867,41.02880952380804,43.037380952379394,NA,NA,NA,54.61166666666469
LATAM,Z_ABS,matrix_32_z_abs,14,6,11,78.57142857142857,3.102142857142741,4.832619047618869,17.02809523809464,21.24690476190401,24.47238095238008,30.308571428570335,32.24333333333217,38.99499999999859,NA,NA,NA,49.38047619047439
LATAM,Z_ABS,matrix_32_z_abs,15,6,12,80,3.249047619047497,5.622619047618835,8.669285714285387,20.246190476189746,27.973095238094235,29.76857142857036,35.51785714285586,38.64142857142717,NA,NA,NA,47.22499999999827
DIEGO,RAW,matrix_32_raw_0_1,8,4,6,75,8.747857142856855,15.393571428570926,17.547142857142283,21.30738095238025,21.980476190475464,22.491666666665925,22.72047619047544,23.98595238095159,NA,NA,NA,27.83714285714194
DIEGO,RAW,matrix_32_raw_0_1,9,4,7,77.77777777777777,6.798333333333115,13.876904761904315,14.20261904761859,14.400952380951916,15.717619047618545,15.939761904761392,18.98476190476129,20.685714285713615,NA,NA,NA,24.225238095237312
DIEGO,RAW,matrix_32_raw_0_1,10,4,8,80,6.956666666666447,13.037619047618636,13.738809523809088,15.237380952380471,15.629761904761413,16.404047619047102,17.080238095237554,17.765714285713724,NA,NA,NA,20.772857142856488
DIEGO,RAW,matrix_32_raw_0_1,11,4,9,81.81818181818181,2.3504761904761153,5.713333333333148,10.138095238094916,10.71595238095204,11.98499999999962,13.08833333333292,15.637380952380456,16.045238095237586,NA,NA,NA,19.858095238094613
DIEGO,RAW,matrix_32_raw_0_1,12,6,9,75,13.116904761904372,20.69309523809462,22.34071428571362,24.539999999999267,27.855714285713443,29.504999999999107,30.89571428571335,32.01595238095141,NA,NA,NA,36.54595238095128
DIEGO,RAW,matrix_32_raw_0_1,13,6,10,76.92307692307692,11.19142857142824,14.904761904761454,21.466666666666015,26.140238095237297,26.950952380951552,27.49690476190392,29.324047619046723,32.730238095237084,NA,NA,NA,37.49476190476074
DIEGO,RAW,matrix_32_raw_0_1,14,6,11,78.57142857142857,9.309761904761643,18.949999999999473,20.70809523809466,21.14333333333274,23.639285714285045,24.774523809523107,26.27857142857068,26.48880952380877,NA,NA,NA,31.83857142857051
DIEGO,RAW,matrix_32_raw_0_1,15,6,12,80,9.014761904761649,21.152142857142252,24.51547619047548,26.312142857142092,26.717857142856367,27.911666666665855,28.407380952380127,29.30690476190391,NA,NA,NA,32.82785714285618
DIEGO,POS,matrix_32_pos_0_1,8,4,6,75,24.11809523809453,31.839999999999065,37.88238095237984,41.92238095237971,45.3321428571415,47.82499999999857,49.86023809523659,51.56166666666512,NA,NA,NA,56.865476190474496
DIEGO,POS,matrix_32_pos_0_1,9,4,7,77.77777777777777,20.301428571427937,27.975238095237227,34.08976190476084,37.34380952380835,38.2449999999988,38.64047619047498,42.47571428571294,43.34023809523672,NA,NA,NA,46.14928571428426
DIEGO,POS,matrix_32_pos_0_1,10,4,8,80,18.194285714285133,25.319999999999183,32.833095238094174,34.404999999998886,34.70047619047506,36.280476190475014,38.67023809523683,39.79166666666537,NA,NA,NA,45.80071428571279
DIEGO,POS,matrix_32_pos_0_1,11,4,9,81.81818181818181,17.933809523808932,27.29119047618956,34.025714285713136,36.34904761904639,37.28333333333207,38.31857142857013,38.63119047618917,38.80333333333202,NA,NA,NA,44.67857142856991
DIEGO,POS,matrix_32_pos_0_1,12,6,9,75,37.31880952380787,52.31833333333119,57.18333333333102,60.08999999999758,63.5628571428546,65.25833333333073,66.8471428571402,68.1197619047592,NA,NA,NA,70.96928571428292
DIEGO,POS,matrix_32_pos_0_1,13,6,10,76.92307692307692,40.46428571428378,53.470238095235715,56.77857142856892,58.11380952380696,59.404285714283105,60.25190476190212,64.3254761904734,64.784523809521,NA,NA,NA,66.68380952380666
DIEGO,POS,matrix_32_pos_0_1,14,6,11,78.57142857142857,41.010238095236105,53.54214285714041,54.35714285714038,56.594523809521256,59.37452380952114,61.60666666666391,64.04595238094954,65.77023809523519,NA,NA,NA,68.96047619047316
DIEGO,POS,matrix_32_pos_0_1,15,6,12,80,45.94857142856901,56.3254761904734,56.99857142856862,58.77380952380665,59.79309523809233,60.3980952380923,62.01952380952081,64.08904761904455,NA,NA,NA,66.48595238094923
DIEGO,EXT,matrix_32_ext_0_1,8,4,6,75,0.2019047619047558,0.8992857142856873,1.2780952380951995,1.5419047619047157,1.7188095238094718,2.1728571428570773,2.570714285714208,2.7761904761903926,NA,NA,NA,3.7992857142856
DIEGO,EXT,matrix_32_ext_0_1,9,4,7,77.77777777777777,0.280476190476182,0.7759523809523575,0.9845238095237796,1.214999999999963,1.3783333333332914,1.6373809523809026,2.211428571428504,2.3633333333332613,NA,NA,NA,3.3799999999998973
DIEGO,EXT,matrix_32_ext_0_1,10,4,8,80,0.1554761904761858,0.3109523809523716,0.6147619047618863,0.791666666666643,0.9685714285713996,1.1085714285713952,1.5423809523809062,1.999761904761845,NA,NA,NA,2.949761904761816
DIEGO,EXT,matrix_32_ext_0_1,11,4,9,81.81818181818181,0.4552380952380815,0.632142857142838,0.8590476190475932,1.085952380952348,1.2128571428571064,1.6047619047618564,1.8435714285713731,2.2192857142856472,NA,NA,NA,2.9073809523808647
DIEGO,EXT,matrix_32_ext_0_1,12,6,9,75,0.8026190476190231,1.393333333333291,1.6904761904761387,2.2976190476189777,3.3257142857141844,4.2185714285713,5.0385714285712755,5.9130952380950585,NA,NA,NA,7.974285714285473
DIEGO,EXT,matrix_32_ext_0_1,13,6,10,76.92307692307692,0.9349999999999714,1.6811904761904248,1.9630952380951785,2.3985714285713557,2.6604761904761096,2.9521428571427677,3.1690476190475225,3.6816666666665543,NA,NA,NA,5.839523809523632
DIEGO,EXT,matrix_32_ext_0_1,14,6,11,78.57142857142857,1.0864285714285389,1.56214285714281,2.254761904761837,2.4966666666665907,2.7152380952380133,3.0980952380951443,3.423571428571325,3.959047619047499,NA,NA,NA,5.456190476190311
DIEGO,EXT,matrix_32_ext_0_1,15,6,12,80,0.4121428571428447,0.7028571428571216,0.8178571428571182,1.380476190476149,1.5638095238094765,1.97952380952375,2.384999999999928,2.8109523809522963,NA,NA,NA,3.847380952380836
