bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
96,voter,NI,23,0.023
96,voter,PFE_ESN,78,0.078
96,voter,SD,98,0.098
97,abstention,ABSTENTION,506,0.506
97,voter,ECR,53,0.053
97,voter,EPP,122,0.122
97,voter,GREENS_EFA_RENEW,88,0.088
97,voter,GUE_NGL,32,0.032
97,voter,NI,23,0.023
97,voter,PFE_ESN,78,0.078
97,voter,SD,98,0.098
98,abstention,ABSTENTION,506,0.506
98,voter,ECR,53,0.053
98,voter,EPP,122,0.122
98,voter,GREENS_EFA_RENEW,88,0.088
98,voter,GUE_NGL,32,0.032
98,voter,NI,23,0.023
98,voter,PFE_ESN,78,0.078
98,voter,SD,98,0.098
99,abstention,ABSTENTION,506,0.506
99,voter,ECR,53,0.053
99,voter,EPP,122,0.122
99,voter,GREENS_EFA_RENEW,88,0.088
99,voter,GUE_NGL,32,0.032
99,voter,NI,23,0.023
99,voter,PFE_ESN,78,0.078
99,voter,SD,98,0.098
100,abstention,ABSTENTION,506,0.506
100,voter,ECR,53,0.053
100,voter,EPP,122,0.122
100,voter,GREENS_EFA_RENEW,88,0.088
100,voter,GUE_NGL,32,0.032
100,voter,NI,23,0.023
100,voter,PFE_ESN,78,0.078
100,voter,SD,98,0.098
101,abstention,ABSTENTION,506,0.506
101,voter,ECR,53,0.053
101,voter,EPP,122,0.122
101,voter,GREENS_EFA_RENEW,88,0.088
101,voter,GUE_NGL,32,0.032
101,voter,NI,23,0.023
101,voter,PFE_ESN,78,0.078
101,voter,SD,98,0.098
102,abstention,ABSTENTION,506,0.506
102,voter,ECR,53,0.053
102,voter,EPP,122,0.122
102,voter,GREENS_EFA_RENEW,88,0.088
102,voter,GUE_NGL,32,0.032
102,voter,NI,23,0.023
102,voter,PFE_ESN,78,0.078
102,voter,SD,98,0.098
103,abstention,ABSTENTION,506,0.506
103,voter,ECR,53,0.053
103,voter,EPP,122,0.122
103,voter,GREENS_EFA_RENEW,88,0.088
103,voter,GUE_NGL,32,0.032
103,voter,NI,23,0.023
103,voter,PFE_ESN,78,0.078
103,voter,SD,98,0.098
104,abstention,ABSTENTION,506,0.506
104,voter,ECR,53,0.053
104,voter,EPP,122,0.122
104,voter,GREENS_EFA_RENEW,88,0.088
104,voter,GUE_NGL,32,0.032
104,voter,NI,23,0.023
104,voter,PFE_ESN,78,0.078
