analysis_sample,matrix,h,p,comparison,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
LATAM,RAW,3,4,KM_vs_EFA_OVERLAP,KM3,EFA1,77.77777777777777,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
LATAM,RAW,3,4,KM_vs_EFA_OVERLAP,KM4,EFA3,37.5,8,10,3,37.5,30,20,det_11_knowledge; det_12_own_competence; det_17_adherence
LATAM,RAW,3,4,KM_vs_EFA_JACCARD,KM1,EFA4,43.75,15,8,7,46.666666666666664,87.5,43.75,det_01_profits; det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy
LATAM,RAW,3,4,KM_vs_EFA_JACCARD,KM2,EFA2,16.666666666666668,13,8,3,23.076923076923077,37.5,16.666666666666668,det_12_own_competence; det_15_self_satisfaction; det_27_fun
LATAM,RAW,3,4,KM_vs_EFA_JACCARD,KM3,EFA1,70,9,8,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
LATAM,RAW,3,4,KM_vs_EFA_JACCARD,KM4,EFA3,20,8,10,3,37.5,30,20,det_11_knowledge; det_12_own_competence; det_17_adherence
LATAM,RAW,3,4,KM_vs_EXPERTS,KM1,Careful,50,15,12,9,60,75,50,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
LATAM,RAW,3,4,KM_vs_EXPERTS,KM2,Fearful,22.22222222222222,13,9,4,30.76923076923077,44.44444444444444,22.22222222222222,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
LATAM,RAW,3,4,KM_vs_EXPERTS,KM3,Influencer,40,9,5,4,44.44444444444444,80,40,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
LATAM,RAW,3,4,KM_vs_EXPERTS,KM4,Stubborn,37.5,8,3,3,37.5,100,37.5,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
