analysis_sample,matrix_name,matrix,h,p,coverage_kmeans,coverage_efa,mean_signature_size_kmeans,mean_signature_size_efa,mean_km_efa_overlap,median_km_efa_overlap,mean_km_efa_jaccard,median_km_efa_jaccard,mean_km_expert_jaccard_hungarian,mean_km_expert_best_jaccard,mean_efa_expert_jaccard_hungarian,mean_efa_expert_best_jaccard,n_km_efa_overlap_ge_50,n_km_expert_jaccard_ge_50,n_efa_expert_jaccard_ge_50
DIEGO,matrix_32_ext_0_1,EXT,7,4,5.901309523808015,2.85675595238052,12,9,38.2012432012432,41.95804195804196,29.227941176470587,30.330882352941174,33.82936507936508,37.22222222222222,31.95970695970696,33.42074592074592,0,1,1
DIEGO,matrix_32_ext_0_1,EXT,7,5,6.815446428569689,3.213601190475704,11.2,9.6,42.22766122766123,45.45454545454545,29.799019607843135,31.25,32.51803751803752,35.23232323232323,33.56776556776557,34.73659673659674,1,1,1
DIEGO,matrix_32_ext_0_1,EXT,7,6,8.076964285712226,3.652767857142304,11.333333333333334,10.333333333333334,47.47604247604248,50.256410256410255,34.09722222222222,33.125,31.86026936026936,34.12217412217412,32.13980463980464,33.113830613830615,3,1,1
DIEGO,matrix_32_ext_0_1,EXT,7,7,9.864761904759389,4.453928571427897,10.857142857142858,10.142857142857142,47.83660783660784,50,33.621794871794876,31.25,29.432985315338257,31.84498041640899,29.941724941724942,31.954711954711954,4,1,1
DIEGO,matrix_32_ext_0_1,EXT,7,8,11.582261904758957,5.117202380951606,10.625,10.125,47.41258741258741,48.33333333333333,32.75240384615385,31.25,28.918650793650794,31.435786435786436,28.17269353453564,30.30412296037296,4,1,1
DIEGO,matrix_32_ext_0_1,EXT,8,4,10.513839285711624,7.05889880952274,11.25,9,35.86538461538461,35.8974358974359,26.311274509803923,24.080882352941174,35.29040404040404,35.707070707070706,31.95970695970696,33.42074592074592,0,1,1
DIEGO,matrix_32_ext_0_1,EXT,8,5,13.37336309523471,7.841607142855954,11.4,9.6,43.136752136752136,46.666666666666664,31.087719298245617,31.25,33.94660894660895,34.27994227994228,33.56776556776557,34.73659673659674,2,1,1
DIEGO,matrix_32_ext_0_1,EXT,8,6,16.7073214285672,8.649404761903453,10.833333333333334,10.333333333333334,46.844729344729345,48.33333333333333,32.32142857142857,33.125,30.767054296466064,31.596921596921597,32.13980463980464,33.113830613830615,3,1,1
DIEGO,matrix_32_ext_0_1,EXT,8,7,18.16050595237636,10.259999999998447,11,10.142857142857142,48.485958485958484,50,34.514652014652015,35,31.866266320047835,32.577581149009724,29.941724941724942,31.954711954711954,5,1,1
DIEGO,matrix_32_ext_0_1,EXT,8,8,20.279970238090108,12.082172619045796,10.875,10.125,47.425213675213676,50,33.32532051282051,33.125,30.809676434676437,31.838716838716838,28.17269353453564,30.30412296037296,5,1,1
DIEGO,matrix_32_z_abs,Z_ABS,2,4,0.31919642857134634,0.36029761904756546,10,11.25,42.50992063492063,46.52777777777778,24.176249447147278,22.600619195046438,24.734848484848484,25.303030303030305,24.21833466241361,24.90755772005772,2,0,0
