analysis_sample,h,p,mean_coverage_kmeans,mean_coverage_efa,mean_km_efa_overlap,mean_km_efa_jaccard,mean_km_expert_jaccard,mean_efa_expert_jaccard
EUROPE,2,7,27.793452380951845,16.515163690476108,56.59883767026624,45.65432715028051,37.49220871332216,31.649219061507775
EUROPE,2,8,29.38282738095181,17.521659226190383,54.69864337051837,43.800396601881914,35.55060970913332,30.71346697302096
EUROPE,3,4,34.339962797618405,18.24428571428563,48.03319943944944,40.54586038961039,46.18064455646692,34.32328139589169
EUROPE,3,5,37.21709077380883,20.210796130952282,48.12695637695638,37.97898154477102,41.36713918176767,36.44934191625369
EUROPE,3,6,40.24029017857066,22.63257440476179,53.72352184852185,42.44484852021617,39.70433501683502,35.18505765748413
EUROPE,3,7,42.32714285714204,24.42350446428559,53.58738483738484,41.5675471440223,37.525371300526096,33.81408303414606
EUROPE,3,8,44.174873511903904,26.91848958333319,54.20375631313131,41.74909594836465,34.9665090510195,32.582114321544466
EUROPE,4,4,46.475967261903854,24.832656249999896,46.659000721500725,39.94295634920635,44.38712890459214,34.9979973049826
EUROPE,4,5,50.41156994047518,27.975833333333213,54.98791486291486,42.4018175451999,43.497254787695965,34.5665796621679
EUROPE,4,6,53.751116071427475,31.194464285714126,56.036047286047285,44.48687291305045,41.29768308173881,35.732155235831705
EUROPE,4,7,56.17200148809409,33.6955729166665,57.26504646147504,44.67458254542654,40.19873567142474,35.06206620177208
EUROPE,4,8,59.917284226189246,37.074211309523626,56.32365030802531,43.44908742197345,38.029630704263056,32.981059483816836
EUROPE,5,4,57.15243303571319,31.876889880952362,46.6671176046176,38.85395056762123,44.194253458959345,35.7534907902555
EUROPE,5,5,60.987626488093994,34.56982886904758,54.37536075036075,42.1089449102893,43.61877175112469,34.84851912793089
EUROPE,5,6,65.9284151785701,39.94076636904757,56.1976911976912,44.084694688409854,41.074495321786344,34.37158021716846
EUROPE,5,7,68.63444196428432,42.48931547619041,57.24879287379287,44.9137167442121,39.87926435142822,33.305488279227774
EUROPE,5,8,70.71698660714142,45.50057291666657,56.47757624320124,43.784143595482604,37.285461933899434,31.434884533036623
EUROPE,6,4,67.69604166666534,42.323355654761926,49.47217712842713,40.92607633468407,44.53138053467001,38.92138294711824
EUROPE,6,5,74.25469494047468,46.16921130952383,55.23051948051948,44.70214696723985,43.3005328005328,37.554091333503095
EUROPE,6,6,78.04007440476029,49.45005208333333,58.11598124098124,46.30750006416735,41.5853504045261,35.00041080923434
EUROPE,6,7,79.77603422618883,52.982827380952386,56.51775803561518,44.8262005837951,40.43012747056865,33.09150699907002
EUROPE,6,8,81.60335565476016,58.444546130952354,56.14918068043068,43.81680268681379,36.9097196716682,30.594809857217946
EUROPE,7,4,80.98656994047475,53.58635416666665,53.54211760461761,43.436949563594304,46.3335718557758,39.338049613784904
EUROPE,7,5,83.78679315476037,57.84735119047625,52.73683261183261,41.196708505919034,42.89491247057037,36.10361207420031
EUROPE,7,6,84.80638392856986,65.18282738095236,50.746984496984496,39.436538257193234,39.42383578896737,32.94770588888236
EUROPE,7,7,86.01759672618886,68.97187499999993,50.055173001601574,38.98850406247215,36.689160712131745,31.260688424553972
EUROPE,7,8,87.35421874999832,72.33661458333324,51.92060543623044,40.576730335582894,33.96642281813044,30.330848685628098
EUROPE,8,4,86.55707589285562,61.35073660714202,52.90223665223665,43.035377451495876,45.547248803827756,39.64520773344303
EUROPE,8,5,87.84321428571269,70.52238839285639,52.18101343101343,41.73441694122472,41.42922061168965,35.46441793500617
EUROPE,8,6,89.54534226190306,76.78226190476111,51.63232600732601,40.600739046105176,38.41249667729931,33.745750436926905
EUROPE,8,7,90.98231398809348,79.277492559523,53.70475754404326,41.867387950150004,36.88117810920222,32.1966478899252
EUROPE,8,8,92.2122098214268,82.01693452380869,53.58268467643468,40.63737244222926,34.79397231380591,29.868638561193706
LATAM,2,4,15.551495535713912,14.563965773809446,38.47746003996004,28.881252610693398,37.95218568196509,30.433455433455435
LATAM,2,5,18.524843749999548,16.572991071428486,43.84383671883672,33.122210391947235,36.72961107519931,28.9257117151854
LATAM,2,6,20.932358630951864,18.440610119047523,49.681753431753435,37.98649478603039,35.84922056429409,28.632627728022463
LATAM,2,7,23.10968005952323,19.894977678571333,52.21729659229659,39.85815853454619,33.8524319984404,27.351477304208395
LATAM,2,8,25.135684523808894,20.846927083333235,54.705476814851814,42.39011767601164,32.52652901042026,27.10330862807643
LATAM,3,4,26.406927083332704,22.56738095238083,47.30502136752137,38.470236360861364,38.79238714716656,31.821104242979246
LATAM,3,5,31.101212797618295,24.334977678571306,51.56623931623932,38.72353341103341,37.99544817927171,31.840811965811966
LATAM,3,6,33.9642559523801,26.39289434523794,54.86708892958893,41.283429261370436,35.9587964459288,29.56641737891738
LATAM,3,7,36.7766145833324,27.73159970238079,55.33675649747079,41.83279240416569,34.932535659951625,29.503276221542475
LATAM,3,8,39.36589285714185,29.623563988095057,55.54239163614164,42.38255498801164,32.66504150465548,28.060950970683944
LATAM,4,4,41.31843005952277,31.6128497023809,48.10363247863248,39.05095498434314,37.42753671981613,31.702056623931625
LATAM,4,5,46.83218749999883,33.93183035714279,53.251068376068375,42.60569072740125,37.71767040149393,32.73115079365079
LATAM,4,6,51.328705357141544,36.67698660714274,53.286401098901095,42.21457260060201,35.37209828570123,33.12368217795849
LATAM,4,7,53.77153273809386,39.02774553571414,53.88529129600558,41.48748281363827,33.54352929983182,32.06202819122987
LATAM,4,8,56.592864583331874,40.53101190476176,56.14471466033966,43.97608714921989,31.63445418960125,30.162925565039536
LATAM,5,4,54.72538690476033,39.68574404761908,47.35844017094017,37.90219511847801,38.466341664871074,31.528956133735548
LATAM,5,5,60.57097470237922,43.14963541666667,52.97802197802198,41.32485095314043,35.79176991309344,33.3619011707247
LATAM,5,6,63.687284226188616,46.32117559523806,53.44233312983313,43.17307874873664,35.64543571896513,33.384363457892874
LATAM,5,7,65.89591517856951,48.483749999999965,53.01761730333159,42.616357839295695,33.807109090722534,31.55348036650558
LATAM,5,8,68.56194196428372,50.3903645833333,55.483917124542124,43.63225379442969,32.001799262828676,30.368631827731093
LATAM,6,4,68.21096726190316,49.395535714285685,45.22798382173382,35.859156162464984,39.056613831430006,31.24446733821734
LATAM,6,5,72.17910714285537,54.64811011904751,48.86217948717949,39.15584192209579,37.429655720096896,32.28681204416498
LATAM,6,6,73.77127976190293,57.23148809523799,56.10042735042735,43.65811708787715,35.28158422459893,33.562555364025954
LATAM,6,7,75.99920386904573,60.25014136904748,56.52930402930403,44.27136364912791,34.645020012667075,32.81087143482102
LATAM,6,8,78.3468526785694,62.561354166666526,56.11590666278166,43.11117815846434,32.517333565127686,31.008528593546977
LATAM,7,4,75.33808779761743,60.200282738094835,49.15001665001665,40.970354572328255,39.05313232519115,33.56818528693529
LATAM,7,5,78.4317187499982,68.07627976190429,50.00620213120213,39.16009551593917,36.38951326451326,34.72887978035037
LATAM,7,6,81.48451636904562,71.07596726190431,51.92646473896474,40.41218202305664,34.06233234358234,33.29108119549296
LATAM,7,7,84.39235863095018,73.16587797619,50.43973883259598,38.93255484932287,32.753584534046716,33.365144426068795
LATAM,7,8,86.03228422618818,76.04410714285666,52.5626717032967,40.55692309550185,32.188320513228604,31.158336149144972
LATAM,8,4,80.89622767856967,65.90017113095122,50.16507797757798,42.268538752913756,37.6667934802126,32.125877594627596
LATAM,8,5,83.44350446428378,76.1007738095225,49.13313075813076,39.81056565983037,35.31781535458006,33.1280525030525
LATAM,8,6,86.34134672618833,79.9392633928558,47.21297221297221,37.19787955565819,33.766458895135365,31.984254171754174
LATAM,8,7,88.61098958333099,81.60257440476056,49.10608240965384,38.365001150134944,33.471126795706624,31.28038628038628
LATAM,8,8,89.86762648809281,83.06362351190342,52.88383491508491,41.77867105160062,31.574354572371213,30.83637333867113
DIEGO,2,4,2.409739583333034,1.064538690476053,33.63265207015207,22.731418102451382,34.10455863580864,27.43766239243213
DIEGO,2,5,2.8347098214282234,1.1543675595236595,38.52318514818515,26.256864050981697,32.352862823451055,27.2941470079628
DIEGO,2,6,3.155818452380568,1.234910714285553,40.47605172605173,27.971622944049415,31.447985225558753,26.26694790346106
DIEGO,2,7,3.3608258928567336,1.3473586309522048,40.858982287553715,28.2056219923867,30.38023455302867,24.517240738768823
DIEGO,2,8,3.61820684523765,1.42965029761886,42.33056873681874,29.301337435891423,28.941475446530593,23.877001562034458
DIEGO,3,4,4.875409226189872,1.6926116071426405,33.80893412143412,23.107049415582697,34.71695022706052,27.43766239243213
DIEGO,3,5,5.39436755952314,1.8354092261902404,38.705877455877456,26.718226905533406,33.093325168983064,27.2941470079628
DIEGO,3,6,5.927031249999274,1.9454761904759397,40.613668738668736,28.35609198950917,31.370192307692307,26.26694790346106
DIEGO,3,7,6.227046130951615,2.0825520833330637,40.97243034743035,28.391317682145857,29.93493681670926,26.39816793482207
DIEGO,3,8,6.624940476189661,2.1862946428568586,42.03763250638251,28.870404164763684,29.47755917328286,24.137418228701122
DIEGO,4,4,9.233980654760858,2.6598809523805995,35.73716214341214,24.75178625768796,34.50912751464222,28.414376650396388
DIEGO,4,5,9.828191964284601,2.9391443452377057,41.36750749250749,28.132053361155528,32.429785900374135,29.804150892966682
DIEGO,4,6,10.641309523808314,3.078043154761496,43.17942474192474,29.197880991127896,31.63754104011457,27.955956743205196
DIEGO,4,7,11.428988095236779,3.287700892856706,43.58406474477903,29.290978537163856,30.018721066515184,27.084550005132712
DIEGO,4,8,12.132879464284306,3.4277455357138296,43.88382450882451,29.311574769077673,29.369298236485736,25.25368477465517
DIEGO,5,4,13.862812499998242,4.01958333333281,34.10140207015207,22.96181179501613,35.5386713980464,28.414376650396388
DIEGO,5,5,14.921755952379053,4.516607142856556,39.34461371961372,26.509806456013887,35.44987651237651,29.804150892966682
DIEGO,5,6,15.53543154761706,4.698556547618437,42.299286361786365,29.130794386212344,34.94466249980956,27.955956743205196
DIEGO,5,7,16.427380952378805,5.097224702380289,42.92319783391212,29.199372348006804,33.348448353700455,27.084550005132712
DIEGO,5,8,17.37485863095009,5.276874999999311,43.02072927072928,29.286347574853767,30.84111787926126,25.25368477465517
DIEGO,6,4,21.164702380949763,6.5928124999991695,34.352470446220444,23.321398485630297,37.35746381886088,28.808651493200642
DIEGO,6,5,22.202224702378146,7.627046130951421,41.30737318237318,28.64119663016722,35.24192025294966,30.119570767210085
DIEGO,6,6,22.89945684523516,8.241093749998964,43.211984774484776,29.997193155571637,34.732079567605886,28.6214677028338
DIEGO,6,7,24.15089285713973,8.732916666665563,45.08447901305044,30.682901657166365,32.962543669780516,27.64248296852786
DIEGO,6,8,25.100074404758622,9.24818452380835,44.65477231102231,30.312715253335416,30.698637528407264,25.490717962056003
DIEGO,7,4,27.97854910713954,9.906815476189307,35.222433816183816,24.24831365959462,36.76882854417684,28.689603874153022
DIEGO,7,5,29.542209821424994,11.715900297617631,41.08667721167721,27.8237885265749,34.999478419757054,30.02433267197199
DIEGO,7,6,31.025848214281886,12.775133928569876,44.33594183594184,30.16027781701156,33.58186846335066,28.542102623468722
DIEGO,7,7,32.34580357142446,13.858043154760207,45.94866443080729,30.871780515052297,32.06968556039764,27.574455757643506
DIEGO,7,8,33.56077380951946,14.871450892855309,45.19809183871684,30.654142858453035,29.76363035936372,25.449868288853388
DIEGO,8,4,36.75572916666132,17.49841517856911,38.74313186813187,26.692601934958745,36.07834868090286,30.469266205285944
DIEGO,8,5,38.98055059523233,18.979873511902248,42.961996336996336,29.715733226182145,35.42892519846854,29.744978181620056
DIEGO,8,6,41.539843749993686,20.638392857140122,46.070503570503575,31.44096035543404,33.55272549303122,29.50679254955571
DIEGO,8,7,42.83240327380293,22.130104166663727,46.211804068946925,32.0040446555263,32.067034533725156,28.07102763814396
DIEGO,8,8,44.366748511897846,24.561302083330066,45.97104284604285,32.222546303670526,30.49222955460862,26.305709496257094
RENOVISOR,2,4,18.207961309523537,11.607418154762009,52.42145007770008,42.00877795450164,46.57770726220804,30.472703358732772
RENOVISOR,2,5,21.022388392856815,12.777961309523926,52.16501554001554,41.91655403420109,41.217053027811545,30.516600637924167
RENOVISOR,2,6,23.227648809523444,13.82772321428584,54.14773883523883,43.18635956406854,38.170047706135165,30.046526866379807
RENOVISOR,2,7,24.954724702380556,14.846413690476327,53.03889562818134,41.615729732575154,35.860029219024135,29.119064875367396
RENOVISOR,2,8,27.244255952380513,15.789419642857288,51.862044205794206,41.77550498177433,34.0311247087321,27.375549287313994
RENOVISOR,3,4,28.775870535713835,17.28682291666683,53.35336538461539,42.10224077822762,47.59616353825913,32.15413875340346
RENOVISOR,3,5,33.6685714285709,19.216123511904943,52.35531135531136,42.16062592378382,42.22558371281281,30.653198109080463
RENOVISOR,3,6,35.88623511904705,20.949642857143058,54.99465811965812,44.181154493654496,38.44385127328239,30.89587461830109
RENOVISOR,3,7,38.88606398809462,22.65982886904784,54.9632609454038,42.688191729683325,38.084737069284834,29.648278017500708
RENOVISOR,3,8,42.36648809523741,24.02869047619071,55.73336385836386,43.31624249593,35.89883793698132,28.966991954124307
RENOVISOR,4,4,41.149479166666055,24.525997023809747,49.918345543345545,40.03703914549503,46.73997477088615,32.53380504299622
RENOVISOR,4,5,44.798199404761206,28.177284226190725,49.43467643467643,39.368028535791694,43.453779536596876,32.2928268626798
RENOVISOR,4,6,51.67037946428485,30.25407738095266,54.34485653235653,42.094995003276736,40.73801578252043,31.90194881371352
RENOVISOR,4,7,54.954099702380034,32.31743303571459,53.085099424385135,40.57313952448848,38.44033305568578,29.588008280235172
RENOVISOR,4,8,56.76432291666572,33.75297619047651,53.81658272283272,41.38267448817952,35.40810704764362,29.19012717266394
RENOVISOR,5,4,50.80072172618977,32.226741071428975,49.0625,39.87395143233959,45.822653680383944,31.71602600830542
RENOVISOR,5,5,56.085074404761095,36.71110119047664,50.5721916971917,39.30070034573211,42.76752747166834,33.030163463986995
RENOVISOR,5,6,62.57752232142759,39.192581845238564,51.01304945054945,38.98114977799642,40.18332775540593,32.06713357448652
RENOVISOR,5,7,64.32809523809422,41.92598958333383,50.499411302982736,37.95871283736167,36.6181423495665,30.316181741988906
RENOVISOR,5,8,67.0731473214275,43.69214285714337,52.44505494505495,39.64989704782661,34.69368640905019,29.013818246596884
RENOVISOR,6,4,62.24657738095154,44.4249851190482,49.4808836996337,40.0252820579833,45.351536256141515,33.47520432998374
RENOVISOR,6,5,66.4956324404753,48.9719419642863,51.05586080586081,40.25317982670924,42.74826976858711,31.47713316095669
RENOVISOR,6,6,73.17279761904655,51.41686011904823,54.53220390720391,42.362092098934205,40.52766241040235,32.45483736679557
RENOVISOR,6,7,75.42950148809412,55.86836309523872,55.075222396650965,43.77051246826789,37.48036671729175,30.988327348483253
RENOVISOR,6,8,76.3309747023798,58.82511160714351,52.77415293040293,40.8792498297626,34.309021516838854,30.42316755902766
RENOVISOR,7,4,73.49262648809442,54.53703869047642,47.54540598290598,38.875907079032075,44.53369912251491,33.47520432998374
RENOVISOR,7,5,78.93558779761804,62.33898809523848,52.12164224664225,42.15156208170914,41.447095044618266,33.432261366084894
RENOVISOR,7,6,81.57018601190373,67.11976190476231,50.53304334554335,39.654164133653296,39.465233893929714,31.15754707037602
RENOVISOR,7,7,84.5565104166655,71.30962053571474,52.06294697366126,40.030204680939974,37.36723394424633,30.95240592863326
RENOVISOR,7,8,85.58768601190359,73.11783482142906,54.66502247752248,41.249567949572786,34.303928597417375,30.789745479301402
RENOVISOR,8,4,78.93499999999916,62.11154017857119,47.98115079365079,39.14281823249215,44.337536522859665,33.47520432998374
RENOVISOR,8,5,84.45427827380858,71.45964285714285,51.12103174603175,41.466822606208794,41.87604354709618,32.712564396387926
RENOVISOR,8,6,86.28753720237997,79.093683035714335,50.572217134717135,40.7520381721149,40.12972225143278,32.586197843550785
RENOVISOR,8,7,88.73940476190369,80.09312500000006,55.131693703122274,42.63467960661512,37.18550099465624,32.82756867315691
RENOVISOR,8,8,89.79720982142746,82.53793898809533,55.78227328227328,42.46039920586566,34.1111648660507,32.14323870573871
WHY_EUROPE,2,4,9.436339285714157,3.9302455357140227,47.13066447441447,34.886127965172086,46.85129107004107,32.760881619240756
WHY_EUROPE,2,5,11.00207589285699,4.219226190475908,46.473387723387724,35.16060960023808,44.005098251421785,32.12934021602752
WHY_EUROPE,2,6,12.576123511904585,4.586822916666359,48.595998908498906,37.318184767875174,42.69246208584444,29.934577090149844
WHY_EUROPE,2,7,13.67846726190457,4.832953869047296,47.52187296830154,36.6182374679721,40.542774219244805,29.1157372039725
WHY_EUROPE,2,8,14.583980654761703,5.14630952380918,50.00414516039516,38.62645561997342,37.85166503227165,27.938852016469085
WHY_EUROPE,3,4,18.568184523809315,6.53872767857098,44.356875763125764,34.94955640442289,48.14097360972361,33.3576459660051
WHY_EUROPE,3,5,21.60609374999973,7.309255952380456,45.150335775335776,35.28500154815944,44.26857864357865,32.68611677280408
WHY_EUROPE,3,6,23.938735119047312,8.114784226189926,48.34643365893366,37.24910080173238,42.59409571909572,32.55589096146372
WHY_EUROPE,3,7,25.419501488094916,8.442514880951807,47.93781615210187,36.57405312756927,40.895607660313544,30.846066711557643
WHY_EUROPE,3,8,27.57226934523774,8.891517857142254,48.1835699023199,36.74879833197848,37.7975889510816,30.376605235472304
WHY_EUROPE,4,4,32.21180059523783,11.792790178570627,47.29567307692308,35.94775894577558,46.522366522366525,37.898163927575695
WHY_EUROPE,4,5,35.38756696428541,13.01844494047531,45.16788766788767,33.347519804756644,44.495670995671,35.05127878657291
WHY_EUROPE,4,6,37.700483630952064,13.99848958333239,48.77200345950346,35.55914136602991,42.79824444346503,33.804045559560265
WHY_EUROPE,4,7,40.117336309523466,14.724858630951386,50.88481954553383,39.604258999023486,40.916175036448145,32.99894666491305
WHY_EUROPE,4,8,41.766711309523444,15.365505952379912,54.128441003441,42.403558505048444,37.991139528363796,30.837189005847094
WHY_EUROPE,5,4,44.643385416666334,17.175282738094047,45.42506105006105,34.164062040900276,47.257071462034695,34.74077597239362
WHY_EUROPE,5,5,47.504553571428175,18.477983630951098,46.94597069597069,34.23990253382668,43.90028768531091,32.11247371909137
WHY_EUROPE,5,6,48.98632440476148,19.913779761903385,49.243996743996746,36.47506722293874,41.06745480826363,31.714259324553442
WHY_EUROPE,5,7,50.27347470238054,20.846688988093803,52.468493807779524,38.491555022818844,38.231789510676066,30.21614735637845
WHY_EUROPE,5,8,51.308288690475784,21.755059523808022,51.259634462759465,38.013730510223354,36.07167601544053,28.6301205110464
WHY_EUROPE,6,4,56.13218005952312,25.145840773807887,46.434294871794876,34.241480537436416,45.82144418081918,34.3935537501714
WHY_EUROPE,6,5,58.18789434523737,27.30374255952203,50.21504884004884,37.947747685750784,42.93057677616501,33.18860673640086
WHY_EUROPE,6,6,59.867626488094515,28.968563988093337,51.081985144485145,38.21247396179672,39.144606074753135,32.589613205422026
WHY_EUROPE,6,7,60.730937499999264,30.463928571426575,52.920700331414615,38.72067938327337,38.05651744810303,31.121765139622283
WHY_EUROPE,6,8,61.96704613095162,31.79834821428363,52.76146596459097,38.30377008988174,36.82070199376217,29.73838775442394
WHY_EUROPE,7,4,63.64755208333247,34.36958333333112,47.09077380952381,35.55421447425124,45.87618672177496,35.295428121714885
WHY_EUROPE,7,5,66.17624999999911,37.04456845237855,49.381493506493506,37.48732762335703,41.38320625452978,35.26393500290559
WHY_EUROPE,7,6,67.42572172618955,39.385148809521255,52.165554353054354,38.145121830783594,40.08464336589337,33.26881636237286
WHY_EUROPE,7,7,70.44383928571324,41.193906249997326,52.77030509173366,39.0170403825866,37.959104387675815,31.903867009323665
WHY_EUROPE,7,8,71.30819940476081,42.831830357140056,53.14087821900322,38.9316920314163,34.73959423359578,30.989916422264525
WHY_EUROPE,8,4,70.98965773809454,44.092767857139926,43.731112637362635,33.96813317938511,44.46713825390296,36.467303121714885
WHY_EUROPE,8,5,72.33191220238022,49.190282738091895,46.48137973137973,34.9253173297291,43.16069224892754,35.64485123579551
WHY_EUROPE,8,6,73.7363392857135,50.18519345237754,51.11874236874237,36.87913325780973,40.19034750652398,34.54216434866589
WHY_EUROPE,8,7,77.05056547618959,52.381130952377376,52.61152537938253,38.42490696744898,37.56193269848732,33.00390446633813
WHY_EUROPE,8,8,78.04789434523718,54.76087797618672,52.581559065934066,38.177307983446724,35.1254030895575,31.412693451199644
WHY_LATAM,2,4,15.129739583332986,14.56482142857135,37.40011724386724,28.168354397795188,38.490380126409534,30.433455433455435
WHY_LATAM,2,5,17.993444940475765,16.464955357142774,43.48593073593074,31.416437535632582,35.829849888673415,30.134045048518733
WHY_LATAM,2,6,20.163348214285232,18.439211309523714,48.95487614237614,37.138031082980774,34.96601767112603,28.632627728022463
WHY_LATAM,2,7,22.257581845237553,19.897261904761812,52.16965574108431,39.5612126582936,33.80312634500494,27.351477304208395
WHY_LATAM,2,8,24.342254464285123,20.84498511904752,54.967419733044736,42.4641620500028,31.852785627577614,27.10330862807643
WHY_LATAM,3,4,27.965148809523168,22.559947916666545,47.79513888888889,37.457955056639264,37.69866402195156,31.821104242979246
WHY_LATAM,3,5,31.179977678570687,24.333236607142737,49.861111111111114,38.18263246901018,36.62134951821484,31.840811965811966
WHY_LATAM,3,6,35.036153273808665,26.389479166666515,54.53169515669516,41.46022188882096,34.80026226640004,29.56641737891738
WHY_LATAM,3,7,37.38024553571337,27.730081845237933,56.107949590092446,42.528826215801004,34.143291257123636,29.503276221542475
WHY_LATAM,3,8,39.6418080357133,29.619516369047442,54.23296321733822,41.28456698745011,32.74524826684753,28.060950970683944
WHY_LATAM,4,4,40.9792857142848,31.612447916666618,47.733134920634924,37.33446925881137,37.988198484522016,31.702056623931625
WHY_LATAM,4,5,46.96747767857037,33.9295610119047,53.57539682539682,42.921640859140865,38.71252848458731,32.73115079365079
WHY_LATAM,4,6,50.41194196428458,36.67940476190464,52.79676342176342,42.07224964577906,36.102240964373316,33.12368217795849
WHY_LATAM,4,7,54.02391369047493,39.031354166666524,54.39596118167547,42.20665888733116,34.264195311298366,32.06202819122987
WHY_LATAM,4,8,55.80373511904631,40.53936755952367,54.46426837051837,42.807632777761455,31.665646042339155,30.162925565039536
WHY_LATAM,5,4,52.14139880952247,39.68671875000004,48.35317460317461,37.05868510144826,37.92524060906414,31.528956133735548
WHY_LATAM,5,5,58.85773065476042,43.16128720238096,52.18650793650794,41.373661061161066,38.37370064575947,33.3619011707247
WHY_LATAM,5,6,61.98337053571268,46.33934523809521,52.258597883597886,41.81101306101306,35.81810414531003,33.384363457892874
WHY_LATAM,5,7,64.88311755952213,48.50613839285711,52.303004535147394,39.79171680327143,34.663658003994136,31.55348036650558
WHY_LATAM,5,8,66.67474702380778,50.41061011904759,54.69742063492063,41.43440128359343,32.23148710970402,30.368631827731093
WHY_LATAM,6,4,66.44263392856975,49.3996726190476,46.11607142857143,35.50824175824176,39.919136725202904,31.24446733821734
WHY_LATAM,6,5,71.50141369047437,54.663601190476086,49.583333333333336,39.14246950160263,38.72541633203398,32.28681204416498
WHY_LATAM,6,6,73.95966517856951,57.252909226190376,54.39547720797721,41.12814918784346,35.62148193582017,33.562555364025954
