"scenario","type","K","D","assigned_pct","unassigned_pct"
"10-9-top3","pos",1,10,100,0
"10-9-top3","pos",2,0,86.5203375,13.4796625
"10-9-top3","pos",2,2,99.8997375,0.1002625
"10-9-top3","pos",2,4,99.999975,2.5e-05
"10-9-top3","pos",2,6,100,0
"10-9-top3","pos",2,8,100,0
"10-9-top3","pos",2,10,100,0
"10-9-top3","pos",3,0,96.8709875,3.1290125
"10-9-top3","pos",3,2,99.96285,0.03715
"10-9-top3","pos",3,4,100,0
"10-9-top3","pos",3,6,100,0
"10-9-top3","pos",3,8,100,0
"10-9-top3","pos",3,10,100,0
"10-9-top3","pos",4,0,97.8945625,2.1054375
"10-9-top3","pos",4,2,99.985275,0.014725
"10-9-top3","pos",4,4,100,0
"10-9-top3","pos",4,6,100,0
"10-9-top3","pos",4,8,100,0
"10-9-top3","pos",4,10,100,0
"10-9-top3","pos",5,0,98.5058125,1.4941875
"10-9-top3","pos",5,2,99.9955625,0.0044375
"10-9-top3","pos",5,4,100,0
"10-9-top3","pos",5,6,100,0
"10-9-top3","pos",5,8,100,0
"10-9-top3","pos",5,10,100,0
"10-9-top3","pos",6,0,99.094325,0.905675
"10-9-top3","pos",6,2,99.9979125,0.0020875
"10-9-top3","pos",6,4,100,0
"10-9-top3","pos",6,6,100,0
"10-9-top3","pos",6,8,100,0
"10-9-top3","pos",6,10,100,0
"10-9-top3","pos",7,0,99.322425,0.677575
"10-9-top3","pos",7,2,99.99925,0.00075
"10-9-top3","pos",7,4,100,0
"10-9-top3","pos",7,6,100,0
"10-9-top3","pos",7,8,100,0
"10-9-top3","pos",7,10,100,0
"10-9-top3","pos",8,0,99.4972,0.5028
"10-9-top3","pos",8,2,99.999725,0.000275
"10-9-top3","pos",8,4,100,0
"10-9-top3","pos",8,6,100,0
"10-9-top3","pos",8,8,100,0
"10-9-top3","pos",8,10,100,0
"10-9-top3","ext",1,0,30.0236375,69.9763625
"10-9-top3","ext",1,2,57.1423875,42.8576125
"10-9-top3","ext",1,4,100,0
"10-9-top3","ext",1,6,100,0
"10-9-top3","ext",1,8,100,0
"10-9-top3","ext",1,10,100,0
"10-9-top3","ext",2,0,54.9411125,45.0588875
"10-9-top3","ext",2,2,93.7543625,6.2456375
"10-9-top3","ext",2,4,100,0
"10-9-top3","ext",2,6,100,0
"10-9-top3","ext",2,8,100,0
"10-9-top3","ext",2,10,100,0
"10-9-top3","ext",3,0,64.5111125,35.4888875
"10-9-top3","ext",3,2,99.833825,0.166175
"10-9-top3","ext",3,4,100,0
"10-9-top3","ext",3,6,100,0
"10-9-top3","ext",3,8,100,0
"10-9-top3","ext",3,10,100,0
"10-9-top3","ext",4,0,72.1899875,27.8100125
"10-9-top3","ext",4,2,99.9332375,0.0667625
"10-9-top3","ext",4,4,100,0
"10-9-top3","ext",4,6,100,0
"10-9-top3","ext",4,8,100,0
"10-9-top3","ext",4,10,100,0
"10-9-top3","ext",5,0,75.4085125,24.5914875
"10-9-top3","ext",5,2,99.9923,0.0077
"10-9-top3","ext",5,4,100,0
"10-9-top3","ext",5,6,100,0
"10-9-top3","ext",5,8,100,0
"10-9-top3","ext",5,10,100,0
"10-9-top3","ext",6,0,78.3299,21.6701
"10-9-top3","ext",6,2,99.9978875,0.0021125
"10-9-top3","ext",6,4,100,0
"10-9-top3","ext",6,6,100,0
"10-9-top3","ext",6,8,100,0
"10-9-top3","ext",6,10,100,0
"10-9-top3","ext",7,0,81.249525,18.750475
"10-9-top3","ext",7,2,99.999375,0.000625
"10-9-top3","ext",7,4,100,0
"10-9-top3","ext",7,6,100,0
"10-9-top3","ext",7,8,100,0
"10-9-top3","ext",7,10,100,0
"10-9-top3","ext",8,0,84.1664125,15.8335875
"10-9-top3","ext",8,2,99.9999375,6.25e-05
"10-9-top3","ext",8,4,100,0
"10-9-top3","ext",8,6,100,0
"10-9-top3","ext",8,8,100,0
"10-9-top3","ext",8,10,100,0
