"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"100-9-top3","ext","experts",7,2,7,7,100,48.5714285714286
"100-9-top3","ext","experts",7,4,1,1,100,0
"100-9-top3","ext","experts",7,6,1,1,100,0
"100-9-top3","ext","experts",7,8,1,1,100,0
"100-9-top3","ext","experts",7,10,1,1,100,0
"100-9-top3","ext","experts",8,0,8,8,100,42.7083333333333
"100-9-top3","ext","experts",8,2,8,8,100,46.6666666666667
"100-9-top3","ext","experts",8,4,1,1,100,0
"100-9-top3","ext","experts",8,6,1,1,100,0
"100-9-top3","ext","experts",8,8,1,1,100,0
"100-9-top3","ext","experts",8,10,1,1,100,0
"100-9-top3","pos","experts",1,0,1,1,100,66.6666666666667
"100-9-top3","pos","experts",1,2,1,1,100,66.6666666666667
"100-9-top3","pos","experts",1,4,1,1,100,66.6666666666667
"100-9-top3","pos","experts",1,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",1,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",1,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",2,0,2,2,100,83.3333333333333
"100-9-top3","pos","experts",2,2,2,2,100,70.8333333333333
"100-9-top3","pos","experts",2,4,2,2,100,50
"100-9-top3","pos","experts",2,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",2,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",2,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",3,0,3,3,100,80.5555555555556
"100-9-top3","pos","experts",3,2,3,3,100,60.5555555555556
"100-9-top3","pos","experts",3,4,2,2,100,50
"100-9-top3","pos","experts",3,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",3,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",3,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",4,0,4,4,100,75.4166666666667
"100-9-top3","pos","experts",4,2,4,4,100,45.4166666666667
"100-9-top3","pos","experts",4,4,2,2,100,50
"100-9-top3","pos","experts",4,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",4,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",4,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",5,0,5,5,100,75
"100-9-top3","pos","experts",5,2,5,5,100,46.3333333333333
"100-9-top3","pos","experts",5,4,2,2,100,50
"100-9-top3","pos","experts",5,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",5,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",5,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",6,0,6,6,100,69.1666666666667
"100-9-top3","pos","experts",6,2,6,6,100,45.2777777777778
"100-9-top3","pos","experts",6,4,2,2,100,50
"100-9-top3","pos","experts",6,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",6,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",6,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",7,0,7,7,100,64.047619047619
"100-9-top3","pos","experts",7,2,7,7,100,43.5714285714286
"100-9-top3","pos","experts",7,4,2,2,100,50
"100-9-top3","pos","experts",7,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",7,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",7,10,1,1,100,66.6666666666667
"100-9-top3","pos","experts",8,0,8,8,100,62.5
"100-9-top3","pos","experts",8,2,8,8,100,43.125
"100-9-top3","pos","experts",8,4,2,2,100,50
"100-9-top3","pos","experts",8,6,1,1,100,66.6666666666667
"100-9-top3","pos","experts",8,8,1,1,100,66.6666666666667
"100-9-top3","pos","experts",8,10,1,1,100,66.6666666666667
"10-9-top3","ext","kmeans",1,0,1,1,100,0
"10-9-top3","ext","kmeans",1,2,1,1,100,0
"10-9-top3","ext","kmeans",1,4,1,1,100,0
"10-9-top3","ext","kmeans",1,6,1,1,100,0
"10-9-top3","ext","kmeans",1,8,1,1,100,0
"10-9-top3","ext","kmeans",1,10,1,1,100,0
"10-9-top3","ext","kmeans",2,0,2,2,100,30
"10-9-top3","ext","kmeans",2,2,2,2,100,30
"10-9-top3","ext","kmeans",2,4,1,1,100,0
"10-9-top3","ext","kmeans",2,6,1,1,100,0
"10-9-top3","ext","kmeans",2,8,1,1,100,0
"10-9-top3","ext","kmeans",2,10,1,1,100,0
"10-9-top3","ext","kmeans",3,0,3,3,100,29.5238095238095
"10-9-top3","ext","kmeans",3,2,3,3,100,34.2857142857143
"10-9-top3","ext","kmeans",3,4,1,1,100,0
"10-9-top3","ext","kmeans",3,6,1,1,100,0
"10-9-top3","ext","kmeans",3,8,1,1,100,0
"10-9-top3","ext","kmeans",3,10,1,1,100,0
"10-9-top3","ext","kmeans",4,0,4,4,100,25.7142857142857
"10-9-top3","ext","kmeans",4,2,4,4,100,36.4285714285714
"10-9-top3","ext","kmeans",4,4,1,1,100,0
"10-9-top3","ext","kmeans",4,6,1,1,100,0
"10-9-top3","ext","kmeans",4,8,1,1,100,0
"10-9-top3","ext","kmeans",4,10,1,1,100,0
"10-9-top3","ext","kmeans",5,0,5,5,100,23.4285714285714
"10-9-top3","ext","kmeans",5,2,5,5,100,37.7142857142857
"10-9-top3","ext","kmeans",5,4,1,1,100,0
"10-9-top3","ext","kmeans",5,6,1,1,100,0
"10-9-top3","ext","kmeans",5,8,1,1,100,0
"10-9-top3","ext","kmeans",5,10,1,1,100,0
"10-9-top3","ext","kmeans",6,0,6,6,100,25.7738095238095
"10-9-top3","ext","kmeans",6,2,6,6,100,37.6785714285714
"10-9-top3","ext","kmeans",6,4,1,1,100,0
"10-9-top3","ext","kmeans",6,6,1,1,100,0
"10-9-top3","ext","kmeans",6,8,1,1,100,0
"10-9-top3","ext","kmeans",6,10,1,1,100,0
"10-9-top3","ext","kmeans",7,0,7,7,100,28.2142857142857
"10-9-top3","ext","kmeans",7,2,7,7,100,37.6530612244898
"10-9-top3","ext","kmeans",7,4,1,1,100,0
"10-9-top3","ext","kmeans",7,6,1,1,100,0
"10-9-top3","ext","kmeans",7,8,1,1,100,0
"10-9-top3","ext","kmeans",7,10,1,1,100,0
"10-9-top3","ext","kmeans",8,0,8,8,100,29.8214285714286
"10-9-top3","ext","kmeans",8,2,8,8,100,38.3035714285714
"10-9-top3","ext","kmeans",8,4,1,1,100,0
"10-9-top3","ext","kmeans",8,6,1,1,100,0
"10-9-top3","ext","kmeans",8,8,1,1,100,0
"10-9-top3","ext","kmeans",8,10,1,1,100,0
"10-9-top3","pos","kmeans",1,0,1,1,100,60
"10-9-top3","pos","kmeans",1,2,1,1,100,60
"10-9-top3","pos","kmeans",1,4,1,1,100,60
"10-9-top3","pos","kmeans",1,6,1,1,100,60
"10-9-top3","pos","kmeans",1,8,1,1,100,60
"10-9-top3","pos","kmeans",1,10,1,1,100,60
"10-9-top3","pos","kmeans",2,0,2,2,100,51.4285714285714
"10-9-top3","pos","kmeans",2,2,2,2,100,51.4285714285714
"10-9-top3","pos","kmeans",2,4,2,2,100,51.4285714285714
"10-9-top3","pos","kmeans",2,6,1,1,100,60
"10-9-top3","pos","kmeans",2,8,1,1,100,60
"10-9-top3","pos","kmeans",2,10,1,1,100,60
"10-9-top3","pos","kmeans",3,0,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",3,2,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",3,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",3,6,1,1,100,60
"10-9-top3","pos","kmeans",3,8,1,1,100,60
"10-9-top3","pos","kmeans",3,10,1,1,100,60
"10-9-top3","pos","kmeans",4,0,4,4,100,45.8035714285714
"10-9-top3","pos","kmeans",4,2,4,4,100,47.1428571428571
"10-9-top3","pos","kmeans",4,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",4,6,1,1,100,60
"10-9-top3","pos","kmeans",4,8,1,1,100,60
"10-9-top3","pos","kmeans",4,10,1,1,100,60
"10-9-top3","pos","kmeans",5,0,5,5,100,44.1428571428571
"10-9-top3","pos","kmeans",5,2,5,5,100,37.7142857142857
"10-9-top3","pos","kmeans",5,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",5,6,1,1,100,60
"10-9-top3","pos","kmeans",5,8,1,1,100,60
"10-9-top3","pos","kmeans",5,10,1,1,100,60
"10-9-top3","pos","kmeans",6,0,6,6,100,41.547619047619
"10-9-top3","pos","kmeans",6,2,6,6,100,37.6785714285714
"10-9-top3","pos","kmeans",6,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",6,6,1,1,100,60
"10-9-top3","pos","kmeans",6,8,1,1,100,60
"10-9-top3","pos","kmeans",6,10,1,1,100,60
"10-9-top3","pos","kmeans",7,0,7,7,100,40.969387755102
"10-9-top3","pos","kmeans",7,2,7,7,100,37.6530612244898
"10-9-top3","pos","kmeans",7,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",7,6,1,1,100,60
"10-9-top3","pos","kmeans",7,8,1,1,100,60
"10-9-top3","pos","kmeans",7,10,1,1,100,60
"10-9-top3","pos","kmeans",8,0,8,8,100,39.1964285714286
"10-9-top3","pos","kmeans",8,2,8,8,100,37.6339285714286
"10-9-top3","pos","kmeans",8,4,3,3,100,48.5714285714286
"10-9-top3","pos","kmeans",8,6,1,1,100,60
"10-9-top3","pos","kmeans",8,8,1,1,100,60
"10-9-top3","pos","kmeans",8,10,1,1,100,60
"100-9-top3","ext","kmeans",1,0,1,1,100,0
"100-9-top3","ext","kmeans",1,2,1,1,100,0
"100-9-top3","ext","kmeans",1,4,1,1,100,0
"100-9-top3","ext","kmeans",1,6,1,1,100,0
"100-9-top3","ext","kmeans",1,8,1,1,100,0
"100-9-top3","ext","kmeans",1,10,1,1,100,0
"100-9-top3","ext","kmeans",2,0,2,2,100,30
"100-9-top3","ext","kmeans",2,2,2,2,100,30
