"cluster","expert_row","vol_cluster","cluster_dets_all","vol_expert","expert_dets_all","vol_common","common_dets","pct_cluster_covered","pct_expert_covered"
2,"Homo Economicus",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",7,"PROFITS, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",46.6666666666667,77.7777777777778
2,"Fearful",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",8,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",53.3333333333333,88.8888888888889
2,"Stubborn",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",20,100
2,"Influencer",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",6.66666666666667,33.3333333333333
2,"Careful",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",9,"CREDIT.SCORE, RISK.PROFILE, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ADHERENCE, WELLBEING",60,75
2,"Activist",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, FRUGALITY, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE, AUTARKY, WELLBEING, COZINESS",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",4,"TRUST, TECHNICAL.FIT, SELF.SATISFACTION, ADHERENCE",26.6666666666667,66.6666666666667
3,"Early Adopter",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",4,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE",26.6666666666667,66.6666666666667
3,"Uninterested",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",1,"TECHNICAL.FIT",6.66666666666667,20
3,"Homo Economicus",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",6,"ADDED.VALUE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",40,66.6666666666667
3,"Fearful",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",6,"CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",40,66.6666666666667
3,"Stubborn",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",20,100
3,"Influencer",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",6.66666666666667,33.3333333333333
3,"Careful",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",10,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE",66.6666666666667,83.3333333333333
3,"Activist",15,"CREDIT.SCORE, RISK.PROFILE, ADDED.VALUE, CLIMATE.PROTECTION, TRUST, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, APPROVAL",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",40,100
4,"Early Adopter",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",4,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE, NOVELTY",26.6666666666667,66.6666666666667
4,"Uninterested",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",2,"LEGAL, WELLBEING",13.3333333333333,40
4,"Homo Economicus",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",6,"PROFITS, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, SELF.SATISFACTION",40,66.6666666666667
4,"Fearful",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",6,"RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, WELLBEING",40,66.6666666666667
4,"Stubborn",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",20,100
4,"Influencer",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",6.66666666666667,33.3333333333333
4,"Careful",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",8,"RISK.PROFILE, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, COMMITMENT, ADHERENCE, WELLBEING",53.3333333333333,66.6666666666667
4,"Activist",15,"PROFITS, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, COMMITMENT, ADHERENCE, AUTARKY, WELLBEING, COZINESS, RIGHTS.AND.DUTIES, NOVELTY",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",3,"SELF.SATISFACTION, COMMITMENT, ADHERENCE",20,50
5,"Early Adopter",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",30,50
5,"Uninterested",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",1,"TECHNICAL.FIT",10,20
5,"Homo Economicus",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",6,"PROFITS, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",60,66.6666666666667
5,"Fearful",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",6,"CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",60,66.6666666666667
5,"Stubborn",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",30,100
5,"Influencer",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",10,33.3333333333333
5,"Careful",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",7,"CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, COMMITMENT, ADHERENCE",70,58.3333333333333
5,"Activist",10,"PROFITS, CREDIT.SCORE, RISK.PROFILE, TRUST, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",5,"TRUST, TECHNICAL.FIT, SELF.SATISFACTION, COMMITMENT, ADHERENCE",50,83.3333333333333
6,"Early Adopter",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",2,"KNOWLEDGE, SELF.SATISFACTION",13.3333333333333,33.3333333333333
6,"Uninterested",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",3,"LEGAL, WELLBEING, AUTHORITY",20,60
6,"Homo Economicus",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",6,"PROFITS, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, SELF.SATISFACTION",40,66.6666666666667
6,"Fearful",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",9,"CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, WELLBEING",7,"CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, WELLBEING",46.6666666666667,77.7777777777778
6,"Stubborn",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",3,"KNOWLEDGE, SELF.SATISFACTION, ADHERENCE",2,"KNOWLEDGE, SELF.SATISFACTION",13.3333333333333,66.6666666666667
6,"Influencer",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",3,"KNOWLEDGE, PEER.PRESSURE, SOCIALISING",1,"KNOWLEDGE",6.66666666666667,33.3333333333333
6,"Careful",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",12,"CREDIT.SCORE, RISK.PROFILE, CLIMATE.PROTECTION, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, ENVIRONMENTAL.CONCERNS, COMMITMENT, ADHERENCE, WELLBEING",7,"CREDIT.SCORE, RISK.PROFILE, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, WELLBEING",46.6666666666667,58.3333333333333
6,"Activist",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, SELF.SATISFACTION, AUTARKY, WELLBEING, COZINESS, FUN, AUTHORITY, APPROVAL",6,"TRUST, TECHNICAL.FIT, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, COMMITMENT, ADHERENCE",1,"SELF.SATISFACTION",6.66666666666667,16.6666666666667
7,"Early Adopter",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ADHERENCE, AUTARKY, RIGHTS.AND.DUTIES, PEER.PRESSURE, SUPPORT",6,"KNOWLEDGE, ENVIRONMENTAL.CONCERNS, SELF.SATISFACTION, ADHERENCE, NOVELTY, TRENDS",2,"KNOWLEDGE, ADHERENCE",13.3333333333333,33.3333333333333
7,"Uninterested",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ADHERENCE, AUTARKY, RIGHTS.AND.DUTIES, PEER.PRESSURE, SUPPORT",5,"LEGAL, TECHNICAL.FIT, WELLBEING, PEER.PRESSURE, AUTHORITY",3,"LEGAL, TECHNICAL.FIT, PEER.PRESSURE",20,60
7,"Homo Economicus",15,"PROFITS, CREDIT.SCORE, RISK.PROFILE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, OWN.COMPETENCE, TECHNICAL.FIT, ADHERENCE, AUTARKY, RIGHTS.AND.DUTIES, PEER.PRESSURE, SUPPORT",9,"PROFITS, ADDED.VALUE, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT, SELF.SATISFACTION",7,"PROFITS, LEGAL, TRUST, SAFETY, COST.EFFICIENCY, KNOWLEDGE, TECHNICAL.FIT",46.6666666666667,77.7777777777778
