"scenario","type","K","D","assigned_pct","unassigned_pct"
"10-9","pos",1,8,100,0
"10-9","pos",1,10,100,0
"10-9","pos",2,0,62.045875,37.954125
"10-9","pos",2,2,99.3226,0.6774
"10-9","pos",2,4,99.9897125,0.0102875
"10-9","pos",2,6,100,0
"10-9","pos",2,8,100,0
"10-9","pos",2,10,100,0
"10-9","pos",3,0,77.0602125,22.9397875
"10-9","pos",3,2,99.9626875,0.0373125
"10-9","pos",3,4,100,0
"10-9","pos",3,6,100,0
"10-9","pos",3,8,100,0
"10-9","pos",3,10,100,0
"10-9","pos",4,0,84.88735,15.11265
"10-9","pos",4,2,99.999625,0.000375
"10-9","pos",4,4,100,0
"10-9","pos",4,6,100,0
"10-9","pos",4,8,100,0
"10-9","pos",4,10,100,0
"10-9","pos",5,0,87.55925,12.44075
"10-9","pos",5,2,99.999825,0.000175
"10-9","pos",5,4,100,0
"10-9","pos",5,6,100,0
"10-9","pos",5,8,100,0
"10-9","pos",5,10,100,0
"10-9","pos",6,0,89.9259125,10.0740875
"10-9","pos",6,2,99.9999125,8.75e-05
"10-9","pos",6,4,100,0
"10-9","pos",6,6,100,0
"10-9","pos",6,8,100,0
"10-9","pos",6,10,100,0
"10-9","pos",7,0,92.26735,7.73265
"10-9","pos",7,2,99.9999625,3.75e-05
"10-9","pos",7,4,100,0
"10-9","pos",7,6,100,0
"10-9","pos",7,8,100,0
"10-9","pos",7,10,100,0
"10-9","pos",8,0,94.4241,5.5759
"10-9","pos",8,2,100,0
"10-9","pos",8,4,100,0
"10-9","pos",8,6,100,0
"10-9","pos",8,8,100,0
"10-9","pos",8,10,100,0
"10-9","ext",1,0,30.0236375,69.9763625
"10-9","ext",1,2,57.1423875,42.8576125
"10-9","ext",1,4,85.0282125,14.9717875
"10-9","ext",1,6,90.086775,9.913225
"10-9","ext",1,8,95.0533375,4.9466625
"10-9","ext",1,10,100,0
"10-9","ext",2,0,39.5936375,60.4063625
"10-9","ext",2,2,82.3391375,17.6608625
"10-9","ext",2,4,100,0
"10-9","ext",2,6,100,0
"10-9","ext",2,8,100,0
"10-9","ext",2,10,100,0
"10-9","ext",3,0,47.6078875,52.3921125
"10-9","ext",3,2,92.2523625,7.7476375
"10-9","ext",3,4,100,0
"10-9","ext",3,6,100,0
"10-9","ext",3,8,100,0
"10-9","ext",3,10,100,0
"10-9","ext",4,0,55.2867625,44.7132375
"10-9","ext",4,2,98.119825,1.880175
"10-9","ext",4,4,100,0
"10-9","ext",4,6,100,0
"10-9","ext",4,8,100,0
"10-9","ext",4,10,100,0
"10-9","ext",5,0,60.996025,39.003975
"10-9","ext",5,2,99.2239125,0.7760875
"10-9","ext",5,4,100,0
"10-9","ext",5,6,100,0
"10-9","ext",5,8,100,0
"10-9","ext",5,10,100,0
"10-9","ext",6,0,66.6044,33.3956
"10-9","ext",6,2,99.9097,0.0903
"10-9","ext",6,4,100,0
"10-9","ext",6,6,100,0
"10-9","ext",6,8,100,0
"10-9","ext",6,10,100,0
"10-9","ext",7,0,71.5510625,28.4489375
"10-9","ext",7,2,99.9914875,0.0085125
"10-9","ext",7,4,100,0
"10-9","ext",7,6,100,0
"10-9","ext",7,8,100,0
"10-9","ext",7,10,100,0
"10-9","ext",8,0,74.7985625,25.2014375
"10-9","ext",8,2,99.998575,0.001425
"10-9","ext",8,4,100,0
"10-9","ext",8,6,100,0
"10-9","ext",8,8,100,0
"10-9","ext",8,10,100,0
