stage,determinant_id,determinant_label,n_mentions,mean_score,median_score
"No la conoce, pero le genera curiosidad",adherence,Adherencia,87,75.643678160919535,76
"No la conoce, pero le genera curiosidad",self_satisfaction,Satisfacción personal,85,73.34117647058824,75
"No la conoce, pero le genera curiosidad",autonomy,Autosuficiencia,85,64.15294117647059,69
"No la conoce, pero le genera curiosidad",climate_protection,Protección climática,72,66.98611111111111,70.5
"No la conoce, pero le genera curiosidad",legal,Cumplimiento legal,71,77.54929577464789,80
"No la conoce, pero le genera curiosidad",environmental_concerns,Preocupación ambiental,71,72.94366197183099,75
"No la conoce, pero le genera curiosidad",safety,Seguridad,71,71.80281690140845,75
"No la conoce, pero le genera curiosidad",technical_fit,Adecuación técnica,70,76.65714285714286,79
"No la conoce, pero le genera curiosidad",trust,Confianza,70,74.21428571428571,77.5
"No la conoce, pero le genera curiosidad",knowledge,Conocimiento,67,82.01492537313433,85
"No la conoce, pero le genera curiosidad",cost_efficiency,Eficiencia de costes,67,69.2089552238806,72
"No la conoce, pero le genera curiosidad",own_competence,Competencia propia,63,62.523809523809526,71
"No la conoce, pero le genera curiosidad",wellbeing,Bienestar,46,75.32608695652173,76.5
"No la conoce, pero le genera curiosidad",coziness,Confort,45,66.13333333333334,70
"No la conoce, pero le genera curiosidad",peer_pressure,Presión social,23,51.78260869565217,64
"No la conoce, pero le genera curiosidad",novelty,Novedad,23,45.56521739130435,42
"No la conoce, pero le genera curiosidad",recognition,Reconocimiento,23,15.652173913043478,10
"No la conoce, pero le genera curiosidad",fun,Diversión,22,31.68181818181818,25
"No la conoce, pero le genera curiosidad",agreement,Acuerdo,21,78.76190476190476,80
"No la conoce, pero le genera curiosidad",rights_and_duties,Derechos y deberes,20,70.6,76
"No la conoce, pero le genera curiosidad",support,Apoyo social,20,64.8,65
"No la conoce, pero le genera curiosidad",socialising,Socialización,19,40.31578947368421,35
"No la conoce, pero le genera curiosidad",trends,Tendencias,9,42.44444444444444,38
"No la conoce, pero le genera curiosidad",authority,Autoridad,9,38.888888888888886,33
